Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Reda Sayed,G,Egypt,False,19,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90,25,7.3,4,0,0,ENPPI,1.0,1.0-0.0,11239709
Ahmed Sebiha,D,Egypt,False,43,28,13,5,3,2,3,5,0,0,3,1,0,0,0,2,1,0,0,2,0,0,0,0,0,5,0,0,90,58,7.2,17,0,0,ENPPI,1.0,1.0-0.0,11239709
Ahmed Kalosha,D,Egypt,False,59,54,16,14,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,90,67,7.4,6,0,0,ENPPI,1.0,1.0-0.0,11239709
Mohamed Hamed,D,Egypt,False,61,55,11,7,0,2,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,82,64,6.8,7,0,0,ENPPI,1.0,1.0-0.0,11239709
Ali Fawzi,M,Egypt,False,21,15,1,1,13,0,0,1,1,0,0,2,1,0,0,0,1,2,0,0,0,0,1,0,1,2,0,0,89,55,7.4,21,0,0,ENPPI,1.0,1.0-0.0,11239709
Mody Naser,M,Egypt,False,35,28,5,1,0,2,0,7,1,0,0,2,8,0,0,2,2,0,0,2,0,0,0,0,1,10,0,0,90,54,7.3,11,0,0,ENPPI,1.0,1.0-0.0,11239709
Ahmed El Agouz,M,Egypt,False,59,49,8,7,0,2,1,5,1,3,0,3,2,0,0,0,0,1,0,0,2,0,0,1,1,3,0,0,90,75,7.6,13,0,0,ENPPI,1.0,1.0-0.0,11239709
Marwan Dawoud,M,Egypt,False,47,43,2,0,6,4,0,10,5,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,5,2,0,0,90,79,6.3,16,0,0,ENPPI,1.0,1.0-0.0,11239709
Rafik Kabou,F,Tunisia,False,10,8,0,0,0,4,0,7,3,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,3,0,0,87,21,6.3,7,0,0,ENPPI,1.0,1.0-0.0,11239709
Mohamed Hamdi,M,Egypt,False,41,36,8,6,6,3,0,8,6,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,6,4,0,0,82,60,6.9,18,0,0,ENPPI,1.0,1.0-0.0,11239709
Ahmed Amin Oufa,F,Egypt,False,18,10,3,0,0,4,5,11,3,3,0,0,2,1,0,1,2,1,0,1,2,1,2,0,3,9,0,0,87,39,7.3,14,0,0,ENPPI,1.0,1.0-0.0,11239709
Seif Elkhashab,D,Egypt,True,5,5,1,1,0,0,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,8,11,6.9,1,0,0,ENPPI,1.0,1.0-0.0,11239709
Abdel Rahman Emad,M,Egypt,True,1,1,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,8,7,6.8,1,0,0,ENPPI,1.0,1.0-0.0,11239709
Ahmed Nader Hawash,F,Egypt,True,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,6,0.0,1,0,0,ENPPI,1.0,1.0-0.0,11239709
Karim El Tayeb,F,Egypt,True,2,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,0.0,1,0,0,ENPPI,1.0,1.0-0.0,11239709
Mostafa Shakshak,M,Egypt,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1,0,0,ENPPI,1.0,1.0-0.0,11239709
Abdel Aziz El Balouti,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,ENPPI,1.0,1.0-0.0,11239709
Khaled Reda,D,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,ENPPI,1.0,1.0-0.0,11239709
Mohamed Abdel Aati,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,ENPPI,1.0,1.0-0.0,11239709
Ibrahim Galal,F,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,ENPPI,1.0,1.0-0.0,11239709
Mahdi Soliman,G,Egypt,False,37,22,26,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,90,45,6.6,16,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Mostafa Ibrahim,D,Egypt,False,18,9,4,1,0,0,3,3,0,0,0,1,2,0,0,2,0,0,0,3,0,0,0,0,0,7,0,0,90,35,6.4,9,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Mohammed Saleh,D,Palestine,False,36,24,7,3,0,2,3,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,6,0,0,90,52,6.9,12,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Abdallah Nasib,D,Jordan,False,29,23,2,0,0,3,3,8,1,0,0,1,4,0,0,1,1,0,0,3,0,0,0,0,1,8,0,0,90,43,6.4,8,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Ahmed Bahaa,M,Egypt,False,4,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19,6,3.4,1,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Naser Naser,M,Egypt,False,16,15,1,1,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,62,27,6.4,6,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Salifu Moro,M,Ghana,False,45,35,5,0,0,1,2,8,3,0,0,1,2,0,0,1,1,1,0,2,2,0,0,0,3,6,0,0,90,58,6.3,15,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Ibrahim Hassan,M,Egypt,False,22,13,2,1,2,2,5,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,62,32,6.9,12,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Ammar Hamdy,M,Egypt,False,8,8,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,62,19,6.9,3,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Ahmed Adel,M,Egypt,False,22,10,0,0,0,1,2,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,80,37,6.4,19,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Mabululu,F,Angola,False,19,14,2,2,0,2,2,7,4,0,0,0,1,0,0,0,2,3,0,0,1,1,0,0,4,5,0,0,80,33,6.9,11,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Sabri Raheel,D,Egypt,True,21,16,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28,28,6.6,6,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Fawzi El Henawy,M,Egypt,True,19,14,3,1,0,0,1,3,3,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,3,4,0,0,28,27,6.8,7,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Ahmed Eid,M,Egypt,True,3,2,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,28,8,6.5,3,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Islam Abdelnaim,M,Egypt,True,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10,7,6.7,1,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Austin Amutu,F,Nigeria,True,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,10,5,6.5,3,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Sobhy Soliman,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Khaled Sobhi,D,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Mahmoud Abdel-Aziz,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
Khaled El Ghandour,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,0.0,1.0-0.0,11239709
