Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mahdi Soliman,G,Egypt,False,34,29,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,40,6.0,5,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Mostafa Ibrahim,D,Egypt,False,12,6,3,1,0,0,0,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,76,23,6.6,8,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Khaled Sobhi,D,Egypt,False,43,32,9,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,50,6.3,13,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Mohammed Saleh,D,Palestine,False,42,32,16,8,0,1,1,2,0,2,2,1,2,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,90,60,7.6,10,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Fawzi El Henawy,M,Egypt,False,21,16,2,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,90,39,6.2,10,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Naser Naser,M,Egypt,False,14,13,1,1,4,0,1,6,4,0,0,0,0,0,0,3,2,2,0,1,1,0,0,0,4,6,0,0,87,28,6.5,9,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Mahmoud Abdel-Aziz,M,Egypt,False,31,26,1,1,0,0,1,3,0,0,0,0,4,0,0,0,2,0,0,1,0,1,0,0,0,5,0,0,90,43,6.9,7,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Ammar Hamdy,M,Egypt,False,11,6,0,0,1,1,0,3,1,0,0,0,2,1,0,4,1,0,0,0,1,1,0,0,1,6,0,0,69,27,7.2,10,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Khaled El Ghandour,M,Egypt,False,22,15,4,1,3,0,1,2,0,0,0,0,4,0,0,1,1,1,0,1,0,0,1,0,0,6,0,0,90,36,7.1,11,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Ahmed Adel,M,Egypt,False,19,13,1,0,3,1,0,7,6,0,1,0,2,0,0,2,0,1,0,1,0,1,0,0,6,5,0,0,87,40,6.4,16,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Austin Amutu,F,Nigeria,False,6,2,0,0,0,4,3,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,69,15,6.6,8,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Ibrahim Hassan,M,Egypt,True,11,7,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,21,16,6.6,5,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Mabululu,F,Angola,True,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,8,6.1,3,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Mohamed Mahmoud,M,Egypt,True,6,5,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,14,10,6.7,3,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Islam Abdelnaim,M,Egypt,True,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,5,0.0,1,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Abdelghani Mohamed,M,Egypt,True,2,2,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,9,0.0,3,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Sobhy Soliman,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Elsayed Salem,D,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Mohamed Fares,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Omar Fathy,F,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,1.0,1.0-2.0,11269812
Ahmed El-Shenawy,G,Egypt,False,16,8,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,90,27,6.9,8,0,0,Pyramids,2.0,1.0-2.0,11269812
