Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mohamed Abou Gabal,G,Egypt,False,20,12,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90,30,6.7,8,0,0,National Bank,2.0,2.0-1.0,11042347
Osama Ibrahim,D,Egypt,False,20,10,7,2,6,1,0,4,0,0,2,2,3,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,90,46,6.9,17,0,0,National Bank,2.0,2.0-1.0,11042347
Mahmoud El-Gazzar,D,Egypt,False,21,9,12,1,0,1,2,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,90,32,6.9,12,0,0,National Bank,2.0,2.0-1.0,11042347
Saidou Simpore,D,Burkina Faso,False,33,18,13,5,0,1,4,2,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,90,49,7.1,15,0,0,National Bank,2.0,2.0-1.0,11042347
Issahaku Yakubu,D,Ghana,False,32,22,10,2,3,1,0,4,2,0,0,2,2,0,0,1,0,2,0,1,1,0,0,1,2,4,0,0,90,58,7.3,18,0,0,National Bank,2.0,2.0-1.0,11042347
Mohamed Fathi,M,Egypt,False,48,34,7,2,0,2,1,4,0,1,0,4,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,90,64,7.4,16,0,0,National Bank,2.0,2.0-1.0,11042347
Mohamed Helal,M,Egypt,False,19,15,2,0,3,0,1,5,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,87,32,6.2,12,0,0,National Bank,2.0,2.0-1.0,11042347
Mahmoud Sayed,M,Egypt,False,17,11,1,0,0,0,0,4,2,1,0,2,2,0,0,1,3,0,0,0,0,0,0,0,2,4,0,0,58,30,6.9,9,0,0,National Bank,2.0,2.0-1.0,11042347
Karim Bambo,F,Egypt,False,11,7,1,0,1,2,0,8,1,1,0,2,1,0,0,0,1,1,0,2,2,0,0,0,1,1,0,0,64,27,6.4,11,0,0,National Bank,2.0,2.0-1.0,11042347
Mahmoud Kaoud,F,Egypt,False,23,11,1,0,1,5,1,8,2,1,1,0,2,1,0,1,1,0,0,0,0,1,0,0,2,4,0,0,90,41,7.6,19,0,0,National Bank,2.0,2.0-1.0,11042347
Ahmed Yasser,M,Egypt,False,24,17,4,2,0,1,2,10,6,1,0,1,3,0,0,0,0,0,0,1,2,0,1,0,6,5,0,0,86,49,6.1,21,0,0,National Bank,2.0,2.0-1.0,11042347
Hamdy Alaa,M,Egypt,True,11,9,1,1,1,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,32,16,6.4,4,0,0,National Bank,2.0,2.0-1.0,11042347
Basem Morsi,F,Egypt,True,7,4,1,1,0,1,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,26,10,6.4,4,0,0,National Bank,2.0,2.0-1.0,11042347
Razak Cissé,F,Ivory Coast,True,4,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,4,7,0.0,3,0,0,National Bank,2.0,2.0-1.0,11042347
Mohamed Bassiouny,D,Egypt,True,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0.0,2,0,0,National Bank,2.0,2.0-1.0,11042347
Ahmed Sobhi,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,National Bank,2.0,2.0-1.0,11042347
