Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mohamed Saeed Shika,G,Egypt,False,23,11,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,90,33,6.5,12,0,0,Pharco,1.0,1.0-2.0,10824872
Abdallah Bakri,D,Egypt,False,28,20,3,1,0,0,2,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,90,40,7.3,8,0,0,Pharco,1.0,1.0-2.0,10824872
Rami Sabri,D,Egypt,False,24,23,5,4,0,0,2,1,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,90,39,7.0,2,0,0,Pharco,1.0,1.0-2.0,10824872
Ahmed Abdelaziz Mody,D,Egypt,False,33,21,7,2,0,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,90,43,6.3,14,0,0,Pharco,1.0,1.0-2.0,10824872
Ahmed El-Saghiri,M,Egypt,False,25,22,4,2,3,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,90,46,6.4,11,0,0,Pharco,1.0,1.0-2.0,10824872
Ahmed El Bahrawy,D,Egypt,False,31,23,3,1,1,2,0,4,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,4,0,0,70,45,6.6,12,0,0,Pharco,1.0,1.0-2.0,10824872
Mahmoud Hamada,M,Egypt,False,51,40,7,5,0,1,2,4,0,0,1,0,1,0,0,1,0,1,0,0,3,0,0,0,0,4,0,0,90,61,6.7,15,0,0,Pharco,1.0,1.0-2.0,10824872
Gaber Kamel,M,Egypt,False,21,12,2,0,1,3,4,4,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,70,42,6.9,14,0,0,Pharco,1.0,1.0-2.0,10824872
Ahmed Sherif,F,Egypt,False,18,14,2,1,0,3,0,6,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,77,30,7.0,10,0,0,Pharco,1.0,1.0-2.0,10824872
Amr Gamal,F,Egypt,False,25,18,1,1,0,6,4,16,5,0,1,0,0,0,0,0,1,0,0,0,5,1,1,0,5,5,0,0,90,47,6.2,22,0,0,Pharco,1.0,1.0-2.0,10824872
