Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mahdi Soliman,G,Egypt,False,14,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90,26,6.6,1,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Hisham Salah,D,Egypt,False,52,38,10,3,1,2,1,2,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,90,70,7.4,17,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Mahmoud Alaa,D,Egypt,False,54,44,11,4,0,1,2,1,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,90,66,7.9,11,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Khaled Sobhi,D,Egypt,False,63,53,11,4,0,2,2,6,3,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,3,6,0,0,90,74,6.6,14,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Sabri Raheel,D,Egypt,False,64,45,12,4,8,0,1,2,1,0,0,2,2,0,0,0,0,2,0,1,0,0,0,0,1,3,0,0,90,92,6.8,26,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Salifu Moro,M,Ghana,False,74,67,3,1,0,0,2,5,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,2,0,0,90,75,6.4,8,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Khaled El Ghandour,M,Egypt,False,42,38,2,1,3,1,1,9,2,0,0,1,2,0,0,2,2,1,0,2,2,1,0,0,2,5,0,0,55,58,6.3,12,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Ibrahim Hassan,M,Egypt,False,30,23,3,0,1,2,1,4,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0,69,36,6.4,10,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Mohamed Mahmoud,M,Egypt,False,19,16,3,1,0,0,2,3,1,1,0,0,1,0,0,3,1,0,0,1,1,0,0,0,1,6,0,0,56,29,6.5,6,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Ahmed Adel,M,Egypt,False,17,13,0,0,2,1,0,6,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,55,25,6.0,10,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
Mabululu,F,Angola,False,13,10,1,1,0,1,2,2,1,1,0,0,2,0,0,2,3,0,0,0,0,0,0,0,1,7,0,0,69,24,6.9,6,0,0,Al-Ittihad,1.0,1.0-1.0,10824282
