Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mahdi Soliman,G,Egypt,False,25,18,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,29,5.9,7,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Hisham Salah,D,Egypt,False,43,27,7,1,5,1,1,5,1,0,0,4,4,0,0,1,1,2,0,2,1,0,0,0,1,7,0,0,90,73,6.8,22,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Mohammed Saleh,D,Palestine,False,43,34,10,3,0,2,0,4,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,90,49,6.2,9,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Mahmoud Alaa,D,Egypt,False,68,56,15,6,1,1,4,4,0,0,1,0,4,0,0,1,3,0,0,0,0,0,0,0,0,9,0,0,89,79,6.7,13,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Fawzi El Henawy,M,Egypt,False,35,22,2,1,2,0,2,7,4,0,0,1,5,0,0,2,3,0,0,1,0,0,0,0,4,10,0,0,87,57,6.3,19,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Naser Naser,M,Egypt,False,36,27,2,0,4,3,2,5,0,1,0,1,3,0,0,3,0,2,0,1,1,1,0,0,0,8,0,0,90,55,7.2,14,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Ammar Hamdy,M,Egypt,False,15,15,0,0,0,0,0,6,2,0,0,1,7,0,0,2,2,0,0,3,1,0,0,0,2,10,0,0,74,34,6.6,2,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Mahmoud Abdel-Aziz,M,Egypt,False,31,25,3,1,0,0,1,1,1,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,75,39,7.0,6,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Ibrahim Hassan,M,Egypt,False,20,16,1,0,2,0,2,4,3,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,3,6,0,0,74,36,6.6,10,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
Mabululu,F,Angola,False,16,13,3,2,0,6,0,10,5,1,0,1,2,1,0,2,1,1,0,1,1,1,0,0,5,8,0,0,90,31,7.6,5,0,0,Al-Ittihad,1.0,1.0-2.0,11239692
