Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mohamed Fawzi,G,Egypt,False,28,14,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90,36,7.3,17,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Momen Awad,D,Egypt,False,15,12,2,1,1,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,90,29,7.0,4,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Ahmed Shedid Kenawi,D,Egypt,False,16,12,2,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,90,37,7.0,10,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Mahmoud Ben Wali,D,Libya,False,14,9,1,0,1,3,1,3,0,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,90,26,7.4,6,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Ibrahim El Kadi,D,Egypt,False,40,19,9,2,0,0,3,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,90,59,7.6,24,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Wagih Abdel Hakim,F,Egypt,False,17,11,2,0,1,1,0,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,3,0,0,84,27,6.8,9,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Ahmed Fathi Hamza,M,Egypt,False,25,14,5,2,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,90,32,6.8,13,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Hamed Khaled,M,none,False,22,12,2,0,0,0,0,5,0,0,0,0,1,0,0,2,3,0,0,0,3,0,1,0,0,3,0,0,72,29,6.1,13,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Mostafa Ziko,M,Egypt,False,30,21,3,3,2,0,4,2,1,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,1,7,0,0,90,42,7.0,15,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Omar Bassam,F,Egypt,False,16,6,1,0,0,1,6,2,0,1,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,9,0,0,90,34,6.9,19,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Ahmed Amer,M,Egypt,False,8,2,2,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,46,15,6.3,11,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
Medhat Fakousa,M,Egypt,True,10,7,2,1,1,1,0,5,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,1,0,0,44,17,6.4,6,0,0,Haras El Hedoud,0.0,0.0-0.0,10824364
