Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mahmoud Abou El-Saoud,G,Egypt,False,14,8,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90,17,5.7,6,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Omar Fayed,D,Egypt,False,37,27,8,4,0,0,2,2,3,1,1,1,3,0,0,2,2,0,0,0,0,0,0,0,3,10,0,0,90,49,6.8,10,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Farouck Kabore,D,Burkina Faso,False,17,9,2,0,0,0,1,2,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0,90,29,6.0,10,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Ahmed Alaa Eldin,D,Egypt,False,25,19,8,5,0,1,0,3,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,90,33,6.3,6,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Ahmed Atef,M,Egypt,False,25,16,2,0,2,2,0,3,3,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,3,9,0,0,85,50,7.0,12,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Ahmed El Shimi,M,Egypt,False,31,22,3,1,1,1,1,7,2,0,0,0,6,0,0,0,3,1,0,1,0,0,0,0,2,7,0,0,85,42,6.6,12,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mohamed Magli,M,Egypt,False,28,18,2,0,1,0,0,3,0,1,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,90,42,6.8,14,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Joseph Ochaya,M,Uganda,False,14,8,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60,21,6.9,6,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Omar Fathi,M,Egypt,False,21,12,3,1,5,0,0,7,2,0,0,1,1,0,0,2,1,0,0,2,2,0,0,0,2,3,0,0,60,40,6.3,20,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
John Okoli,F,Nigeria,False,9,9,1,1,0,1,0,5,2,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,2,1,0,0,90,14,6.2,1,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mohamed Salem,F,Egypt,False,12,7,0,0,1,1,3,4,2,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,4,0,0,60,18,6.5,7,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mohamed Hozian,D,Egypt,True,8,7,0,0,4,0,0,3,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,30,20,6.3,7,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Fady Farid,F,Egypt,True,6,3,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,30,10,6.6,4,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mamadou Niass,F,Mauritania,True,8,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,9,6.3,3,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mohamed Shawky Gharib,D,Egypt,True,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,4,0.0,1,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Youssef El Gohary,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0.0,1,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mohamed Seha,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Louay Wael,D,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Youssef Hamdy,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
El Habib Ahmed Hassan,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Mokawloon,1.0,1.0-4.0,11398189
Mohamed El-Shenawy,G,Egypt,False,11,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,18,6.4,3,0,0,Al Ahly,4.0,1.0-4.0,11398189
Mohamed Fakhry,M,Egypt,False,65,57,11,5,2,0,0,1,1,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,1,6,0,0,90,87,7.5,11,0,0,Al Ahly,4.0,1.0-4.0,11398189
Khaled Abdelfattah,D,Egypt,False,43,37,6,3,0,0,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,90,52,7.0,6,0,0,Al Ahly,4.0,1.0-4.0,11398189
Rami Rabia,D,Egypt,False,60,54,4,2,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,90,68,6.6,6,0,0,Al Ahly,4.0,1.0-4.0,11398189
Karim Fouad,M,Egypt,False,37,28,3,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,83,47,6.7,10,0,0,Al Ahly,4.0,1.0-4.0,11398189
Ahmed Nabil Koka,M,Egypt,False,113,102,11,9,0,2,2,7,2,1,2,1,3,0,0,0,1,1,0,2,1,0,0,1,2,6,0,0,90,128,7.8,14,0,0,Al Ahly,4.0,1.0-4.0,11398189
Mohamed Dhaoui,M,Tunisia,False,36,32,2,1,5,0,0,9,9,0,0,0,2,0,0,2,0,3,0,1,1,1,0,1,9,6,0,0,83,58,6.9,17,0,0,Al Ahly,4.0,1.0-4.0,11398189
Aliou Dieng,M,Mali,False,48,45,4,3,1,2,0,8,3,0,0,0,1,1,0,0,1,0,0,1,2,1,0,0,3,2,0,0,79,59,6.8,8,0,0,Al Ahly,4.0,1.0-4.0,11398189
Mohamed Magdy Afsha,M,Egypt,False,73,62,2,1,0,0,1,3,1,0,0,1,1,0,0,0,0,2,0,1,2,0,0,1,1,3,0,0,84,83,7.4,16,0,0,Al Ahly,4.0,1.0-4.0,11398189
Taher Mohamed,M,Egypt,False,36,32,2,1,4,2,4,13,4,1,1,0,1,2,0,4,1,1,0,3,3,2,0,0,4,9,0,0,90,64,7.8,17,0,0,Al Ahly,4.0,1.0-4.0,11398189
Mohamed Sherif,F,Egypt,False,15,10,1,0,0,0,0,6,1,2,0,0,0,1,0,0,2,0,0,0,4,1,3,0,1,1,0,0,90,26,7.2,10,0,0,Al Ahly,4.0,1.0-4.0,11398189
Ali Lotfi,G,Egypt,True,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6.8,0,0,0,Al Ahly,4.0,1.0-4.0,11398189
Percy Tau,M,South Africa,True,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,19,6.9,1,0,0,Al Ahly,4.0,1.0-4.0,11398189
Ahmed  Abdelkader,M,Egypt,True,5,5,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,8,0.0,2,0,0,Al Ahly,4.0,1.0-4.0,11398189
Kahraba,F,Egypt,True,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,6,0.0,0,0,0,Al Ahly,4.0,1.0-4.0,11398189
Rafaat Khalil,F,Egypt,True,12,10,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,15,0.0,3,0,0,Al Ahly,4.0,1.0-4.0,11398189
Mohamed Ashraf,D,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al Ahly,4.0,1.0-4.0,11398189
Hussein El Shahat,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al Ahly,4.0,1.0-4.0,11398189
Ahmed Kendouci,M,Algeria,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al Ahly,4.0,1.0-4.0,11398189
Mohamed Zaalouk,F,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al Ahly,4.0,1.0-4.0,11398189
