Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Emad El-Sayed,G,Egypt,False,26,10,25,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,90,36,7.8,17,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Ahmed Abdelrasoul,D,Egypt,False,23,8,10,0,0,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,90,40,6.6,21,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Mohamed Naguib,D,Egypt,False,21,15,4,1,0,0,0,1,0,0,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,7,0,0,90,33,7.5,7,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Kamal Aboul-Fetouh,D,Egypt,False,31,18,9,2,2,2,2,6,4,0,1,0,3,0,0,2,1,1,0,2,0,0,0,0,4,10,0,0,90,60,7.3,20,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Ahmed Sayed Abdelnaby,D,Egypt,False,25,18,6,2,5,1,1,4,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,4,0,0,90,45,6.6,14,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Mahmoud Talaat,M,Egypt,False,35,21,10,3,0,2,1,6,1,0,0,0,8,0,0,0,3,1,0,1,0,0,1,0,1,10,0,0,90,46,7.1,15,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Allan Kyambadde,M,Uganda,False,26,18,2,0,1,2,1,7,2,0,0,2,1,0,0,3,0,0,0,2,2,0,0,0,2,6,0,0,83,45,6.4,14,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Abdelaziz El Sayed,D,Egypt,False,20,16,4,3,1,4,0,7,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,63,33,6.5,7,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Ali El Zahdi,F,Egypt,False,15,7,1,0,0,2,2,4,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,4,0,0,57,21,6.8,9,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Mostafa Fawzy,F,Egypt,False,5,3,0,0,0,7,4,10,0,1,0,0,1,0,0,1,1,0,0,2,1,0,1,0,0,6,0,0,45,15,6.6,6,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Samir Fekri,F,Egypt,False,28,23,3,3,8,1,0,12,3,1,0,0,1,0,0,1,4,3,0,2,3,1,0,0,3,3,0,0,83,51,7.1,16,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Rasheed Ahmed,F,Nigeria,True,9,4,0,0,0,5,5,8,1,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,5,0,0,45,18,6.5,10,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Kelechi Chimezie,M,Nigeria,True,16,13,3,1,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,33,19,6.3,3,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Abdelrahman El Banouby,M,Egypt,True,14,9,1,0,0,1,0,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,27,23,6.5,8,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Mohamed Ramadan,M,Egypt,True,5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,0.0,1,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Christopher John,M,Nigeria,True,1,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,5,0.0,1,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Mahmoud El Gharabawy,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Funom Alfred,M,Nigeria,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Hussein Ragab,F,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Walid Mostafa,F,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,El Dakhlya,0.0,0.0-0.0,11180563
Mohamed Bassam,G,Egypt,False,11,8,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,90,21,7.3,3,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Ahmed Ramadan,D,Egypt,False,40,26,13,6,3,0,0,4,5,1,0,1,2,0,0,2,1,1,0,0,1,0,0,0,5,7,0,0,83,69,7.3,22,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Ragab Nabil,D,Egypt,False,51,43,12,7,0,5,5,6,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,90,61,7.7,8,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Seif Teka,D,Tunisia,False,54,44,7,5,0,5,9,7,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,90,63,7.3,10,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Mohamed Shokry,D,Egypt,False,48,34,5,2,4,1,2,5,1,1,0,1,2,0,0,0,2,0,0,1,1,0,0,0,1,5,0,0,90,82,7.1,23,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Mohamed Adel,M,Egypt,False,65,57,5,3,5,2,2,7,4,1,0,1,2,0,0,0,0,0,0,3,1,1,0,0,4,7,0,0,90,83,6.8,17,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Mohamed Metwally Canaria,M,Egypt,False,57,45,7,5,3,1,2,4,2,0,1,1,1,0,0,2,1,1,0,2,0,2,0,0,2,7,0,0,89,76,7.7,18,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Mido Gaber,M,Egypt,False,28,22,2,1,3,0,5,6,3,0,0,1,1,0,0,2,1,1,0,2,1,1,1,0,3,8,0,0,83,46,6.6,14,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Mohamed Ibrahim,M,Egypt,False,53,44,3,1,4,0,1,7,2,0,0,0,1,0,0,4,1,2,0,1,5,0,0,0,2,8,0,0,90,77,7.1,17,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Mohamed Antar,M,Egypt,False,18,12,4,2,0,1,1,4,0,1,0,0,3,0,0,3,2,2,0,0,1,0,0,0,0,7,0,0,56,32,6.8,10,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
Gabriel Chukwudi,F,Nigeria,False,11,8,1,1,0,1,0,10,7,1,0,0,1,0,0,1,3,0,0,0,4,1,0,0,7,5,0,0,83,30,6.2,14,0,0,Ceramica Cleopatra,0.0,0.0-0.0,11180563
