Name,Position,Country,Substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,totalContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,goals,ownGoals,wasFouled,fouls,keyPass,lastManTackle,challengeLost,dispossessed,onTargetScoringAttempt,totalOffside,goalAssist,totalContest,duelWon,savedShotsFromInsideTheBox,saves,MinutesPlayed,Touches,Rating,PossessionLostCtrl,PenaltyShootoutMiss,PenaltyShootoutGoal,Team,team score,match score,match code
Mahdi Soliman,G,Egypt,False,22,18,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,90,28,7.7,4,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Hisham Salah,D,Egypt,False,50,42,7,4,3,1,2,6,2,1,1,1,2,0,0,0,2,1,0,0,1,0,0,0,2,4,0,0,84,69,6.7,14,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Mahmoud Alaa,D,Egypt,False,65,60,15,12,0,1,6,4,0,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,7,0,0,90,74,7.5,6,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Khaled Sobhi,D,Egypt,False,31,29,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,46,34,6.7,2,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Sabri Raheel,D,Egypt,False,58,42,5,1,9,2,1,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,3,0,0,90,87,7.1,29,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Salifu Moro,M,Ghana,False,68,63,3,2,1,3,2,11,1,1,0,2,4,0,0,2,4,1,0,3,0,1,0,0,1,8,0,0,90,86,7.5,7,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Naser Naser,M,Egypt,False,29,26,3,2,0,0,0,6,0,0,0,2,0,0,0,1,3,0,0,0,3,1,0,0,0,1,0,0,46,37,6.5,6,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Ibrahim Hassan,M,Egypt,False,39,30,1,0,1,1,0,5,1,0,0,0,2,1,0,2,1,1,0,1,3,1,0,0,1,5,0,0,76,56,7.2,15,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Islam Abdelnaim,M,Egypt,False,36,33,2,1,2,1,0,5,1,0,0,1,2,0,0,1,2,1,0,1,2,1,0,0,1,4,0,0,69,51,7.0,10,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Abdelghani Mohamed,M,Egypt,False,16,14,0,0,2,1,2,7,2,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,2,2,0,0,46,28,6.1,10,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Mabululu,F,Angola,False,17,12,0,0,1,0,2,1,1,3,0,0,1,1,0,1,0,0,0,0,1,2,1,0,1,5,0,0,90,32,7.4,8,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Abdallah Nasib,D,Jordan,True,27,23,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,44,33,6.6,5,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Ahmed Adel,M,Egypt,True,29,25,3,2,5,2,0,7,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0,0,44,41,6.4,13,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Mohamed Mahmoud,M,Egypt,True,40,33,5,4,1,0,1,1,0,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,44,51,7.2,9,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Ammar Hamdy,M,Egypt,True,12,11,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,21,20,6.5,5,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Ahmed Eid,M,Egypt,True,9,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14,10,6.4,2,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Sobhy Soliman,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Gavin Kizito,D,Uganda,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Mahmoud Abdel-Aziz,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Khaled El Ghandour,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Al-Ittihad,2.0,2.0-0.0,10967897
Amr Hossam,G,Egypt,False,31,17,23,9,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,4,5,90,51,6.9,16,0,0,Aswan,0.0,2.0-0.0,10967897
Mido Mostafa,D,Egypt,False,36,27,5,1,0,1,2,3,0,0,0,5,4,0,0,1,0,1,0,2,0,1,0,0,0,7,0,0,90,58,7.0,10,0,0,Aswan,0.0,2.0-0.0,10967897
Ahmed Castelo,D,Egypt,False,23,17,4,2,0,1,1,3,0,0,1,3,3,0,0,2,1,0,0,1,0,0,0,0,0,6,0,0,90,38,6.9,6,0,0,Aswan,0.0,2.0-0.0,10967897
Islam Gamal,D,Egypt,False,21,17,2,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,40,22,5.4,4,0,0,Aswan,0.0,2.0-0.0,10967897
Ali Fathi,D,Egypt,False,32,22,5,2,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,75,47,6.3,14,0,0,Aswan,0.0,2.0-0.0,10967897
Belal El Sayed,M,Egypt,False,13,10,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,43,19,6.8,5,0,0,Aswan,0.0,2.0-0.0,10967897
Raphael Ayagwa,M,Nigeria,False,38,30,5,3,0,3,1,5,0,0,1,3,5,0,0,2,2,0,0,0,1,0,0,0,0,8,0,0,90,59,7.3,10,0,0,Aswan,0.0,2.0-0.0,10967897
Emad Fathy,M,Egypt,False,29,18,4,1,1,0,0,6,5,0,0,1,4,0,0,3,2,0,0,0,2,0,0,0,5,10,0,0,75,52,6.7,20,0,0,Aswan,0.0,2.0-0.0,10967897
Ahmed Khaled,M,Egypt,False,20,15,2,1,3,2,0,4,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,61,35,6.6,13,0,0,Aswan,0.0,2.0-0.0,10967897
Dilson,F,Angola,False,14,11,1,1,0,3,3,6,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,4,0,0,61,26,6.5,12,0,0,Aswan,0.0,2.0-0.0,10967897
Mohamed Hamdy Zaki,F,Egypt,False,34,23,3,0,1,2,3,5,2,1,0,0,1,0,0,2,0,1,0,1,1,1,1,0,2,7,0,0,90,53,6.8,17,0,0,Aswan,0.0,2.0-0.0,10967897
Islam Salah,D,Egypt,True,14,9,1,0,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,47,20,6.2,6,0,0,Aswan,0.0,2.0-0.0,10967897
Ahmed Hamoudi,F,Egypt,True,16,12,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,25,6.5,7,0,0,Aswan,0.0,2.0-0.0,10967897
Mahmoud Fahmy,F,Egypt,True,12,10,1,1,0,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,29,18,6.5,4,0,0,Aswan,0.0,2.0-0.0,10967897
Ahmed Dahroug,D,Egypt,True,9,6,3,1,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,15,17,7.0,4,0,0,Aswan,0.0,2.0-0.0,10967897
Mohamed Morsi,M,Egypt,True,10,8,0,0,1,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,15,20,7.0,5,0,0,Aswan,0.0,2.0-0.0,10967897
Khaled Walid,G,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Aswan,0.0,2.0-0.0,10967897
Mostafa Abdel Rasoul,M,Egypt,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Aswan,0.0,2.0-0.0,10967897
