#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
206,Ceramica Cleopatra,Mido Gaber,6.81,5,2,644,225,869,74.11,197,457,232,28,10,18.52,38,51.35,0
207,Ghazl El Mahalla,Mahmoud El Hadary,6.81,0,0,285,77,362,78.73,274,11,4,0,0,0.0,39,34.51,0
208,Al-Mokawloon,Mamadou Niass,6.81,2,3,239,91,330,72.42,71,169,92,17,1,4.76,9,42.86,0
209,Pharco FC,Ahmed Abdelaziz Mody,6.81,0,0,321,126,447,71.81,202,121,44,4,2,50.0,42,43.3,0
210,Tala'ea El-Gaish,Ahmed Abdel Rahman Zola,6.81,1,1,728,235,963,75.6,369,363,165,19,4,8.33,62,35.84,0
211,Haras El Hedoud,Mostafa Ziko,6.80,1,3,711,245,956,74.37,253,466,256,24,8,22.22,56,53.85,0
212,El Dakhlya,Abdelrahman El Banouby,6.80,3,5,290,110,400,72.5,82,212,114,21,4,33.33,10,45.45,0
213,Zamalek SC,Amr El Sisi,6.80,1,1,585,101,686,85.28,229,356,147,8,0,0.0,38,66.67,0
214,Ismaily,Marwan Hamdi,6.80,0,1,27,7,34,79.41,10,17,10,1,0,0.0,1,50.0,0
215,El Dakhlya,Mohab Yasser,6.80,0,1,46,13,59,77.97,21,28,11,3,3,33.33,3,100.0,0
216,Ceramica Cleopatra,Samuel Amadi,6.80,0,1,27,11,38,71.05,9,18,12,1,0,0.0,0,0.0,0
217,Ismaily,Mohamed Abdelsamia,6.80,1,1,81,31,112,72.32,22,65,30,7,6,30.0,3,60.0,1
218,Al-Masry,Zyad Farag,6.80,0,0,13,5,18,72.22,4,9,3,0,0,0.0,0,0.0,0
219,ENPPI,Seif Elkhashab,6.80,0,0,72,29,101,71.29,51,21,8,0,0,0.0,9,45.0,0
220,Al Ahly FC,Mohamed Fakhry,6.80,1,0,225,51,276,81.52,93,133,65,8,1,20.0,13,44.83,1
221,Al-Ittihad Alexandria,Salifu Moro,6.80,2,0,1077,202,1279,84.21,578,501,178,17,2,28.57,69,53.91,0
222,Al-Masry,Emeka Eze,6.80,1,0,855,164,1019,83.91,386,470,166,13,1,12.5,59,62.11,0
223,Al-Masry,Mohamed Grendo,6.80,2,2,453,172,625,72.48,134,325,181,25,6,27.27,9,47.37,0
224,Ismaily,Mohamed Hashem,6.80,1,1,833,199,1032,80.72,596,237,79,4,0,0.0,81,40.5,0
225,Al-Masry,Amr Saadawy,6.80,5,0,561,164,725,77.38,241,336,179,17,16,16.84,50,46.3,0
226,Al-Masry,Karim El Eraki,6.79,0,0,419,106,525,79.81,243,180,62,6,4,14.29,40,43.48,0
227,Al-Ittihad Alexandria,Mohammed Saleh,6.79,0,1,426,131,557,76.48,300,126,35,2,0,0.0,74,50.34,0
228,El Dakhlya,Rasheed Ahmed,6.79,2,1,157,102,259,60.62,61,97,58,14,1,100.0,5,62.5,0
229,ENPPI,Emad Mayhoub,6.79,2,2,70,32,102,68.63,31,44,24,7,5,41.67,3,37.5,0
230,Pharco FC,Kingsley Sokari,6.79,0,0,814,191,1005,81.0,413,401,145,6,0,0.0,58,54.21,0
231,ENPPI,Khaled Reda,6.79,1,1,437,155,592,73.82,284,153,50,4,0,0.0,56,51.85,0
232,Al Ahly FC,Ahmed Kendouci,6.79,3,1,300,71,371,80.86,116,187,91,15,3,50.0,13,50.0,0
233,Ismaily,Mohamed Bayoumi,6.79,0,0,94,30,124,75.81,44,50,23,1,0,0.0,11,45.83,0
234,Tala'ea El-Gaish,Mohamed Shaaban,6.78,1,0,91,175,266,34.21,28,63,27,2,0,0.0,72,29.15,0
235,Modern Future FC,Abdelkabir El Ouady,6.78,1,2,527,161,688,76.6,176,357,207,24,6,25.0,16,51.61,0
236,Al-Mokawloon,John Okoli,6.78,4,3,374,159,533,70.17,104,273,183,29,3,16.67,16,53.33,0
237,Smouha,El-Hani Soliman,6.78,0,0,289,429,718,40.25,131,158,64,3,0,0.0,207,32.75,0
238,Ismaily,Karim El Deeb,6.78,2,1,295,72,367,80.38,124,173,76,12,2,16.67,11,50.0,0
239,Ceramica Cleopatra,Mohamed Metwally Canaria,6.78,2,1,1232,291,1523,80.89,399,838,403,25,5,26.32,94,53.71,0
240,Ceramica Cleopatra,Mohamed Nassef,6.78,1,0,67,21,88,76.14,32,43,16,6,8,30.77,3,27.27,0
241,Ceramica Cleopatra,Constant Wayou,6.78,0,0,82,18,100,82.0,32,51,26,3,1,11.11,4,36.36,0
242,Al-Masry,Amro Tarek,6.78,0,0,78,29,107,72.9,49,30,10,0,1,20.0,10,43.48,0
243,Smouha,Ahmed Hakam,6.77,0,0,562,244,806,69.73,387,175,43,1,0,0.0,58,32.58,0
244,Al-Mokawloon,Mohamed Magli,6.77,0,0,504,144,648,77.78,202,302,125,9,0,0.0,41,51.25,0
245,Al-Ittihad Alexandria,Mahmoud Abdel-Aziz,6.77,0,1,337,92,429,78.55,190,148,58,7,1,33.33,23,45.1,0
246,Pharco FC,Amr Gamal,6.77,1,0,276,146,422,65.4,94,183,102,18,1,20.0,9,56.25,0
247,Tala'ea El-Gaish,Islam Mohareb,6.77,0,1,510,172,682,74.78,231,280,139,10,1,5.0,32,48.48,0
248,Al Ahly FC,Ahmed Nabil Koka,6.77,1,1,275,39,314,87.58,131,144,41,3,0,0.0,19,67.86,0
249,Al Ahly FC,Percy Tau,6.77,6,2,463,69,532,87.03,134,329,175,23,0,0.0,6,60.0,0
250,National Bank of Egypt,Ahmed El Aash,6.77,0,0,357,129,486,73.46,249,108,35,0,0,0.0,43,45.74,0
251,Modern Future FC,Ahmed Atef,6.77,0,0,130,49,179,72.63,38,93,52,8,1,20.0,3,42.86,0
252,Pyramids FC,Fakhreddine Ben Youssef,6.77,2,2,221,73,294,75.17,64,158,95,7,1,8.33,4,50.0,0
253,Al-Ittihad Alexandria,Ibrahim Hassan,6.77,10,3,544,194,738,73.71,147,421,218,35,24,30.77,28,41.79,0
254,ENPPI,Ahmed Youssef,6.77,2,2,544,159,703,77.38,276,269,105,10,1,100.0,48,42.86,0
255,Al-Mokawloon,Louay Wael,6.77,0,0,27,20,47,57.45,18,9,1,0,0,0.0,2,16.67,0
256,Pharco FC,Jefferson Encada,6.77,0,2,525,133,658,79.79,285,245,102,11,5,14.71,28,38.36,0
257,Al-Ittihad Alexandria,Sobhy Soliman,6.77,0,0,32,37,69,46.38,24,8,2,0,0,0.0,14,27.45,0
258,Ceramica Cleopatra,Mohamed Ibrahim,6.76,5,4,1018,298,1316,77.36,273,768,457,62,23,24.47,54,52.94,0
259,Al Ahly FC,Shady Hussein,6.76,0,1,124,33,157,78.98,24,101,42,6,1,50.0,7,63.64,0
260,Al-Ittihad Alexandria,Ammar Hamdy,6.76,0,0,168,43,211,79.62,77,92,47,4,1,25.0,2,15.38,0
261,National Bank of Egypt,Karim Bambo,6.76,3,2,234,102,336,69.64,89,148,91,12,3,11.11,9,45.0,0
262,Pharco FC,Ahmed Awad,6.76,0,0,364,130,494,73.68,248,116,29,2,0,0.0,53,38.69,0
263,Al-Mokawloon,Mohamed Salem,6.75,0,1,55,49,104,52.88,15,42,26,5,2,28.57,2,40.0,0
264,Aswan SC,Malick Evouna,6.75,0,0,28,21,49,57.14,12,16,10,0,0,0.0,1,50.0,0
265,Al-Masry,Hossam Greisha,6.75,1,1,50,20,70,71.43,11,39,27,3,0,0.0,2,33.33,0
266,Aswan SC,Mustafa Anani,6.75,0,0,30,11,41,73.17,17,13,5,2,0,0.0,2,33.33,0
267,Al-Masry,Mohamed El Fayoumi,6.75,0,0,62,21,83,74.7,25,38,12,4,1,33.33,11,55.0,0
268,Pyramids FC,Hesham Mohamed,6.75,0,0,155,13,168,92.26,92,63,18,0,0,0.0,11,84.62,0
269,Tala'ea El-Gaish,Omar Radwan,6.75,0,0,107,55,162,66.05,99,8,1,0,0,0.0,24,31.58,0
270,Zamalek SC,Shikabala,6.75,4,2,273,79,352,77.56,68,212,133,12,7,23.33,16,51.61,0
271,El Dakhlya,Mostafa Fawzy,6.75,1,1,103,80,183,56.28,27,76,42,10,0,0.0,5,55.56,0
272,National Bank of Egypt,Mahmoud Sayed,6.75,1,1,470,118,588,79.93,230,245,110,12,5,31.25,26,50.0,0
273,Tala'ea El-Gaish,Hassan Magdy,6.74,0,0,195,63,258,75.58,89,112,49,3,6,20.0,33,51.56,0
274,El Dakhlya,Ali El Zahdi,6.74,3,0,177,103,280,63.21,65,115,69,12,3,13.04,8,32.0,0
275,Smouha,Dokou Dodo,6.74,2,1,605,205,810,74.69,268,337,153,13,0,0.0,70,51.47,0
276,Ghazl El Mahalla,Ahmed Mayhoub,6.74,0,0,244,114,358,68.16,217,27,14,0,0,0.0,57,35.85,0
277,ENPPI,Mohamed Hamed,6.74,0,0,508,210,718,70.75,337,171,55,1,0,0.0,86,39.63,0
278,Ismaily,Karim Arafat,6.74,0,0,206,71,277,74.37,80,136,65,7,10,26.32,18,45.0,0
279,Smouha,Sodiq Awujoola,6.74,4,1,341,124,465,73.33,95,248,154,30,2,10.53,19,59.38,0
280,Ceramica Cleopatra,Mahmoud Bolbol Nabil,6.74,0,0,361,55,416,86.78,145,216,99,2,0,0.0,31,59.62,0
281,Zamalek SC,Hatem Mohamed,6.74,0,0,338,63,401,84.29,170,173,76,5,5,50.0,22,51.16,0
282,El Dakhlya,Mahmoud Talaat,6.74,0,0,718,220,938,76.55,329,393,168,16,4,14.29,58,47.54,0
283,El Dakhlya,Kelechi Chimezie,6.74,2,1,848,205,1053,80.53,505,345,131,10,2,25.0,71,53.79,0
284,Al-Mokawloon,Amir Abed,6.74,0,0,255,92,347,73.49,135,124,45,5,4,21.05,34,40.48,0
285,Pharco FC,Mohamed Ahmed Fouad,6.74,0,1,276,94,370,74.59,106,179,105,14,9,20.0,19,45.24,0
286,Ghazl El Mahalla,Ehab Samir,6.73,0,1,648,217,865,74.91,336,333,152,15,21,25.93,74,46.25,0
287,Aswan SC,Amr Hossam,6.73,0,0,360,392,752,47.87,208,152,46,2,0,0.0,200,34.07,0
288,El Dakhlya,Ahmed Sayed Abdelnaby,6.73,1,2,483,224,707,68.32,248,250,129,17,15,24.59,43,30.71,0
289,Al-Mokawloon,Ahmed Fawzi,6.73,1,1,191,78,269,71.0,81,110,47,7,0,0.0,20,42.55,0
290,National Bank of Egypt,Ahmed Said,6.73,1,0,234,84,318,73.58,106,128,71,5,0,0.0,37,53.62,0
291,Smouha,Benjamin Bernard Boateng,6.73,2,1,196,94,290,67.59,54,142,81,14,0,0.0,7,53.85,0
292,Aswan SC,Dilson,6.73,2,2,205,101,306,66.99,64,141,76,9,0,0.0,7,58.33,0
293,Pyramids FC,Dodo El Gabas,6.73,0,0,18,11,29,62.07,7,11,8,0,0,0.0,1,33.33,0
294,ENPPI,Ahmed Eid,6.73,0,0,171,83,254,67.32,87,97,39,9,13,28.26,19,37.25,1
295,Ghazl El Mahalla,Mohamed Bazoka,6.73,1,1,807,344,1151,70.11,496,313,142,6,2,15.38,124,43.36,0
296,Al Ahly FC,Ahmed Abdelkader,6.73,2,0,487,106,593,82.12,144,345,187,21,2,22.22,20,60.61,0
297,Al-Ittihad Alexandria,Mohamed Mahmoud,6.73,0,1,275,73,348,79.02,69,208,111,11,2,40.0,27,65.85,0
298,Modern Future FC,Tarek Taha,6.73,0,0,147,21,168,87.5,69,86,33,3,8,21.62,8,72.73,0
299,Al-Masry,Ziad Kamal,6.73,0,0,219,56,275,79.64,106,116,37,6,3,33.33,13,43.33,0
300,Ceramica Cleopatra,John Okoye Ebuka,6.72,1,1,117,44,161,72.67,29,89,58,9,1,25.0,1,50.0,0
301,Tala'ea El-Gaish,Farid Shawky,6.72,0,1,1136,230,1366,83.16,628,512,171,12,4,25.0,116,55.24,0
302,Zamalek SC,Omar Gaber,6.72,1,1,345,70,415,83.13,145,213,96,11,13,44.83,12,50.0,0
303,National Bank of Egypt,Ahmed Yasser,6.72,3,2,290,136,426,68.08,121,173,86,9,4,16.0,24,44.44,0
304,Pharco FC,Abdel Naser Mohamed Di Maria,6.72,0,1,88,34,122,72.13,17,75,49,6,4,15.38,5,41.67,0
305,ENPPI,Rafik Kabou,6.71,3,5,476,158,634,75.08,129,353,175,29,6,25.0,16,61.54,0
306,El Dakhlya,Walid Mostafa,6.71,1,2,138,57,195,70.77,59,83,42,6,4,14.29,12,40.0,0
307,Al Ahly FC,Mohamed Ashraf,6.71,0,0,180,46,226,79.65,86,98,56,3,4,18.18,10,43.48,0
308,Aswan SC,Islam Salah,6.71,0,0,280,63,343,81.63,225,55,9,2,0,0.0,16,36.36,0
309,Al-Ittihad Alexandria,Naser Naser,6.71,0,0,358,73,431,83.06,167,196,83,11,5,27.78,25,54.35,0
310,Zamalek SC,Mohamed Tarek,6.71,0,0,170,34,204,83.33,96,76,31,4,2,40.0,8,42.11,0
311,Al-Masry,Abderrahim Deghmoum,6.71,1,1,559,154,713,78.4,185,378,197,22,4,15.38,37,58.73,0
312,Aswan SC,Mostafa Abdel Rasoul,6.71,0,0,179,77,256,69.92,108,71,23,0,0,0.0,14,35.9,0
313,Aswan SC,Emad Fathy,6.71,5,1,580,188,768,75.52,234,358,203,24,12,31.58,31,46.97,0
314,Aswan SC,Belal El Sayed,6.71,1,1,436,116,552,78.99,182,266,121,15,12,21.82,30,46.15,0
315,Modern Future FC,Hesham Balaha,6.71,0,0,178,38,216,82.41,54,132,51,5,8,29.63,9,69.23,0
316,Smouha,Malek Baayou,6.71,0,0,228,72,300,76.0,79,149,64,4,0,0.0,14,41.18,0
317,Al-Masry,Ahmed Emad,6.71,0,0,164,71,235,69.79,96,69,22,1,1,20.0,14,37.84,0
318,Pharco FC,Ahmed El-Saghiri,6.71,1,0,479,155,634,75.55,226,268,111,16,15,28.85,19,37.25,0
319,Tala'ea El-Gaish,Khaled Stouhi,6.71,0,0,330,141,471,70.06,210,120,33,4,0,0.0,55,35.71,0
320,Tala'ea El-Gaish,Khaled Kamar,6.71,2,2,115,73,188,61.17,54,61,28,5,0,0.0,10,55.56,0
321,ENPPI,Mohamed Hamdi,6.70,1,3,535,181,716,74.72,242,308,154,15,15,17.65,48,44.44,0
322,Ismaily,Firas Chaouat,6.70,1,1,237,120,357,66.39,55,182,108,18,0,0.0,2,33.33,0
323,Pyramids FC,Ibrahim Adel,6.70,1,0,341,90,431,79.12,66,279,163,19,4,23.53,16,64.0,0
324,Ismaily,Ahmed Madbouli,6.70,3,4,501,198,699,71.67,131,388,230,35,18,18.18,33,39.76,0
325,Smouha,Ahmed Mostafa,6.70,1,2,489,154,643,76.05,172,318,180,19,1,7.69,25,40.32,0
326,Zamalek SC,Sayed Abdallah,6.70,3,2,501,85,586,85.49,186,324,173,17,9,27.27,18,58.06,0
327,ENPPI,Karim El Tayeb,6.70,1,1,85,53,138,61.59,22,63,39,3,0,0.0,3,25.0,0
328,Al-Masry,Saeed Kamal,6.70,0,0,61,19,80,76.25,26,35,7,0,0,0.0,2,20.0,0
329,ENPPI,Mohamed Abdel Aati,6.70,0,0,310,78,388,79.9,109,203,98,6,2,22.22,37,72.55,0
330,Al-Ittihad Alexandria,Ahmed Sayed Gharib,6.70,1,1,7,5,12,58.33,1,6,5,1,0,0.0,2,50.0,0
331,ENPPI,Amr Marey,6.70,1,1,39,10,49,79.59,12,27,22,4,0,0.0,0,0.0,0
332,Modern Future FC,Ahmed Yehia,6.70,0,0,10,0,10,100.0,10,0,0,0,0,0.0,2,100.0,0
333,Al-Mokawloon,Ahmed Afifi,6.70,0,0,5,3,8,62.5,1,5,1,0,1,50.0,0,0.0,0
334,ENPPI,Mohamed El Nahass,6.70,0,0,4,1,5,80.0,2,2,1,0,0,0.0,1,100.0,0
335,Zamalek SC,Ahmed Esho,6.70,0,0,27,7,34,79.41,7,20,14,1,0,0.0,0,0.0,0
336,Tala'ea El-Gaish,Yehia Hamed,6.70,0,0,5,3,8,62.5,3,2,0,0,0,0.0,0,0.0,0
337,Pharco FC,Hassan Tarek,6.70,0,0,8,5,13,61.54,2,6,4,0,0,0.0,0,0.0,0
338,Zamalek SC,Mohamed Hossam,6.70,0,0,21,7,28,75.0,4,17,10,1,0,0.0,1,20.0,0
339,ENPPI,Ibrahim Galal,6.70,0,0,11,7,18,61.11,7,4,1,1,0,0.0,0,0.0,0
340,Al-Mokawloon,Youssef Magdy Abdel Ghani,6.70,0,0,1,1,2,50.0,1,1,0,1,1,50.0,0,0.0,0
341,Zamalek SC,Mohamed Abdel Shafi,6.70,0,0,204,68,272,75.0,78,129,66,3,3,15.0,12,30.77,0
342,Haras El Hedoud,Omar Bassam,6.70,0,0,73,30,103,70.87,34,39,21,3,0,0.0,3,75.0,0
343,El Dakhlya,Mohamed Ramadan,6.70,1,0,118,30,148,79.73,28,94,40,7,4,44.44,13,54.17,0
344,National Bank of Egypt,Ahmed Yassin,6.69,0,0,498,139,637,78.18,391,108,33,3,1,100.0,48,41.03,0
345,Aswan SC,Mohamed Atwa,6.69,0,0,506,181,687,73.65,385,122,29,2,1,50.0,61,36.75,0
346,National Bank of Egypt,Osama Faisal,6.69,0,0,223,100,323,69.04,75,149,85,8,1,9.09,9,37.5,0
347,National Bank of Egypt,Osama Ibrahim,6.69,2,1,433,219,652,66.41,249,194,73,3,10,20.41,70,46.67,0
348,Ghazl El Mahalla,Amr Shaaban,6.69,1,0,198,93,291,68.04,179,19,8,2,0,0.0,39,31.45,0
349,El Dakhlya,Mohamed Naguib,6.69,0,0,610,248,858,71.1,407,205,65,5,2,50.0,81,38.94,1
350,Al-Masry,Abdo Yehia,6.69,4,1,217,116,333,65.17,60,165,99,14,8,22.86,14,53.85,0
351,ENPPI,Marwan Dawoud,6.69,0,0,304,125,429,70.86,150,168,71,12,14,21.88,20,28.17,0
352,Al-Masry,Ragab Omran,6.69,1,0,154,75,229,67.25,46,116,63,8,8,27.59,7,29.17,0
353,Pharco FC,Azmi Ghouma,6.69,1,0,335,125,460,72.83,163,182,86,7,10,23.26,25,38.46,0
354,ENPPI,Mody Naser,6.69,0,0,380,125,505,75.25,193,187,92,2,0,0.0,26,50.0,0
355,Tala'ea El-Gaish,Mohamed Sherif,6.68,1,1,146,57,203,71.92,43,114,52,16,11,30.56,8,44.44,0
356,ENPPI,Abdel Aziz El Balouti,6.68,0,0,211,229,440,47.95,119,92,14,0,0,0.0,118,34.4,0
357,Haras El Hedoud,Islam Gamal,6.68,0,0,168,56,224,75.0,59,112,55,8,3,27.27,7,46.67,0
358,Ghazl El Mahalla,Ahmed El Nadry,6.68,1,1,824,167,991,83.15,381,447,187,19,4,22.22,73,54.89,0
359,Ghazl El Mahalla,Salah Rico,6.68,0,0,72,20,92,78.26,41,31,18,3,0,0.0,11,73.33,0
360,Ceramica Cleopatra,Ibrahim Ayoola,6.68,0,0,27,12,39,69.23,7,20,12,4,0,0.0,1,100.0,0
361,Tala'ea El-Gaish,Ahmed Ayman Mansour,6.68,2,1,774,292,1066,72.61,458,317,98,8,1,20.0,117,42.7,0
362,Zamalek SC,Youssef Osama Nabih,6.68,1,0,184,55,239,76.99,45,142,65,10,3,23.08,6,50.0,0
363,Ceramica Cleopatra,Abdelrahman Body,6.68,0,0,60,21,81,74.07,28,32,16,1,0,0.0,2,28.57,0
364,El Dakhlya,Ahmed Abdelrasoul,6.68,0,0,322,250,572,56.29,188,135,56,2,1,100.0,74,32.31,0
365,Modern Future FC,Karim Nedved,6.67,1,0,457,52,509,89.78,245,213,80,4,1,14.29,20,57.14,0
366,Al-Masry,Hassan Ali,6.67,1,2,265,82,347,76.37,110,160,67,10,5,33.33,21,48.84,0
367,Aswan SC,Mahmoud Fahmy,6.67,0,0,43,22,65,66.15,18,25,18,3,0,0.0,2,33.33,0
368,Haras El Hedoud,Mostafa Sobhi,6.67,2,1,208,67,275,75.64,79,134,82,8,5,29.41,7,35.0,0
369,Ismaily,Mohamed Koko,6.67,0,0,207,134,341,60.7,159,48,13,0,0,0.0,74,35.75,0
370,Smouha,Hussein Faisal,6.67,2,4,558,189,747,74.7,141,420,214,25,3,9.68,22,53.66,0
371,Pharco FC,Ahmed Sherif,6.67,0,1,119,56,175,68.0,43,76,46,7,0,0.0,7,63.64,0
372,ENPPI,Youssef Labib,6.67,0,0,14,15,29,48.28,8,6,5,1,0,0.0,0,0.0,0
373,Pharco FC,Mohamed Zakaria Shika,6.67,0,0,41,21,62,66.13,16,26,12,1,1,7.14,2,40.0,0
374,Tala'ea El-Gaish,Mohamed Samir,6.67,0,0,277,114,391,70.84,196,81,22,2,0,0.0,24,28.57,0
375,Haras El Hedoud,Ahmed Fathi Hamza,6.66,0,0,973,262,1235,78.79,461,515,210,6,3,42.86,52,47.27,0
376,Ismaily,Omar El Saaiy,6.66,0,0,89,26,115,77.39,19,73,38,4,3,37.5,5,45.45,0
377,National Bank of Egypt,Hamdy Alaa,6.66,1,0,253,57,310,81.61,119,134,58,5,0,0.0,31,72.09,0
378,Ismaily,Mohamed Desouki,6.66,1,0,883,253,1136,77.73,458,445,215,14,20,20.83,59,42.45,0
379,Al-Ittihad Alexandria,Islam Abdelnaim,6.66,2,1,344,72,416,82.69,98,254,125,20,8,23.53,11,47.83,0
380,Modern Future FC,Mohamed Farouk,6.66,0,0,203,45,248,81.85,77,127,65,4,1,20.0,4,30.77,0
381,Ghazl El Mahalla,Mohamed Gaber,6.66,1,2,733,241,974,75.26,349,399,198,21,15,19.48,77,54.61,0
382,Pharco FC,Yassin Marei,6.66,0,0,140,38,178,78.65,92,48,19,0,0,0.0,13,52.0,0
383,El Dakhlya,Ahmed Dahesh,6.66,0,0,40,30,70,57.14,20,23,11,4,3,23.08,3,30.0,0
384,Al-Mokawloon,Ahmed El Shimi,6.66,0,0,847,294,1141,74.23,383,467,197,9,3,12.0,91,48.92,0
385,Al-Ittihad Alexandria,Mostafa Ibrahim,6.66,0,0,131,56,187,70.05,93,39,13,1,1,50.0,16,34.78,0
386,Ghazl El Mahalla,Ahmed Reda,6.65,1,0,116,33,149,77.85,34,86,38,6,4,20.0,6,40.0,0
387,Modern Future FC,Ali Zaazaa,6.65,1,0,218,89,307,71.01,66,156,81,6,4,21.05,9,42.86,0
388,Modern Future FC,Omar El Said,6.65,0,0,118,47,165,71.52,44,75,43,4,1,8.33,1,25.0,0
389,Ghazl El Mahalla,Hazem Morsi,6.65,0,0,103,50,153,67.32,30,73,49,4,0,0.0,8,88.89,0
390,Al-Ittihad Alexandria,Austin Amutu,6.65,0,1,94,58,152,61.84,38,56,24,5,0,0.0,4,80.0,0
391,ENPPI,Mostafa Dowidar,6.65,0,1,228,93,321,71.03,86,144,70,7,2,11.11,22,50.0,0
392,Al-Masry,Amr El Morsi,6.65,0,0,4,2,6,66.67,1,3,2,0,0,0.0,0,0.0,0
393,ENPPI,Girgis Magdy,6.65,0,0,23,6,29,79.31,11,13,8,0,1,25.0,2,100.0,0
394,Al Ahly FC,Ahmed Ashraf Ahmed,6.65,0,0,53,22,75,70.67,26,29,12,3,2,66.67,5,38.46,0
395,National Bank of Egypt,Eslam Gaber,6.65,1,1,249,72,321,77.57,90,167,82,15,8,27.59,31,62.0,0
396,Al-Masry,Osama El Gazar,6.64,0,0,196,30,226,86.73,90,106,42,0,0,0.0,8,36.36,0
397,Ismaily,Mohamed El Shamy,6.64,1,1,435,203,638,68.18,123,314,180,25,2,6.67,12,37.5,0
398,Haras El Hedoud,Hamed Khaled El Gabry,6.64,0,0,321,146,467,68.74,148,178,88,6,5,13.16,23,34.85,0
399,Tala'ea El-Gaish,Ahmed Masoud,6.64,0,0,123,46,169,72.78,97,26,5,0,0,0.0,42,47.73,0
400,Al-Mokawloon,Mohamed Hozian,6.64,0,0,90,36,126,71.43,32,64,24,5,6,24.0,6,40.0,0
401,Zamalek SC,Samson Akinyoola,6.63,1,1,70,15,85,82.35,17,53,32,6,0,0.0,1,33.33,0
402,Smouha,Omar Salah,6.63,0,1,90,133,223,40.36,59,31,12,1,0,0.0,42,24.0,0
403,Al-Ittihad Alexandria,Gavin Kizito,6.63,0,0,64,17,81,79.01,28,40,15,3,4,28.57,2,33.33,0
404,Modern Future FC,Mohamed Abdelsalam,6.63,0,0,77,20,97,79.38,48,29,7,0,0,0.0,4,33.33,0
405,Smouha,El Sabahy Emad,6.63,0,0,29,31,60,48.33,13,16,7,0,0,0.0,2,16.67,0
406,Tala'ea El-Gaish,Mohamed Diab,6.63,0,0,165,45,210,78.57,119,46,11,0,0,0.0,21,56.76,0
407,Haras El Hedoud,Mohamed Ahmed Kamel,6.63,0,0,167,63,230,72.61,115,52,10,0,0,0.0,14,29.79,0
408,Smouha,Mohamed El-Maghrabi,6.63,0,0,225,88,313,71.88,143,85,39,2,3,23.08,15,28.85,0
409,El Dakhlya,Abdelaziz El Sayed,6.63,2,0,678,195,873,77.66,316,382,168,16,20,26.32,46,35.94,0
410,ENPPI,Mostafa Shakshak,6.63,1,0,448,148,596,75.17,200,255,110,13,7,25.93,51,52.58,0
411,Zamalek SC,Seif Farouk Gaafar,6.63,0,1,202,51,253,79.84,64,138,77,6,0,0.0,19,65.52,0
412,Haras El Hedoud,Mahmoud Mamdouh,6.63,0,0,131,56,187,70.05,40,94,57,9,3,25.0,10,55.56,0
413,National Bank of Egypt,Mohamed Bassiouny,6.63,0,0,320,103,423,75.65,199,131,51,4,10,35.71,25,35.71,0
414,Al-Masry,Ahmed El Sheikh,6.63,1,1,93,33,126,73.81,29,65,43,5,1,12.5,5,45.45,0
415,National Bank of Egypt,Basem Morsi,6.63,1,1,155,97,252,61.51,65,90,50,6,0,0.0,14,51.85,0
416,Ismaily,Essam Sobhy,6.62,1,0,350,192,542,64.58,156,203,79,8,9,20.93,34,28.1,0
417,Haras El Hedoud,Mostafa Gamal,6.62,2,1,835,249,1084,77.03,368,467,185,13,0,0.0,75,52.82,0
418,Al Ahly FC,Bruno Sávio,6.62,1,2,199,78,277,71.84,42,159,98,8,2,11.11,7,50.0,0
419,Smouha,Alia Sylla,6.62,0,0,38,28,66,57.58,10,28,16,3,0,0.0,1,50.0,0
420,Haras El Hedoud,Kingsley Fidelis Kuku,6.61,1,0,74,25,99,74.75,33,41,16,4,0,0.0,4,44.44,0
421,Ghazl El Mahalla,Khaled El Akhmimi,6.61,0,0,278,57,335,82.99,89,189,86,4,0,0.0,16,47.06,0
422,Haras El Hedoud,Emmanuel David,6.61,1,1,139,62,201,69.15,40,100,54,7,1,25.0,7,53.85,0
423,Ghazl El Mahalla,Ibrahim Kone,6.61,0,0,173,44,217,79.72,73,101,57,3,1,9.09,6,54.55,0
424,Ceramica Cleopatra,Salah Mohsen,6.61,1,1,111,60,171,64.91,26,85,45,8,0,0.0,3,42.86,0
425,Aswan SC,Gedo,6.60,0,2,191,93,284,67.25,69,123,74,11,1,7.69,6,40.0,0
426,Aswan SC,Ali Fathi,6.60,3,1,755,357,1112,67.9,361,409,214,20,15,18.07,69,33.01,0
427,Tala'ea El-Gaish,Paul Joules,6.60,0,0,44,31,75,58.67,14,30,19,1,0,0.0,2,66.67,0
428,Pharco FC,Gaber Kamel,6.60,0,0,260,116,376,69.15,160,104,33,5,4,10.53,20,34.48,0
429,National Bank of Egypt,Assem Salah,6.60,0,1,203,68,271,74.91,108,100,57,3,5,25.0,24,46.15,0
430,Smouha,Mohammed Rashid,6.60,0,0,5,0,5,100.0,4,1,0,0,0,0.0,0,0.0,0
431,Al Ahly FC,Motaz El Sayed,6.60,0,0,26,4,30,86.67,21,5,1,1,0,0.0,1,50.0,0
432,Ismaily,Khaled Alnabrisi,6.60,0,0,5,1,6,83.33,3,2,1,0,0,0.0,0,0.0,0
