#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
50,Al-Mokawloon,Omar Fayed,7.03,0,0,548,282,830,66.02,291,259,102,5,2,20.0,79,34.8,0
51,Ismaily,Mohamed Fawzi,7.02,0,0,127,105,232,54.74,79,48,13,0,0,0.0,71,40.8,0
52,Modern Future FC,Nasser Maher,7.01,3,3,650,129,779,83.44,191,475,242,32,16,28.07,35,60.34,0
53,ENPPI,Ahmed Kalosha,7.01,4,3,902,347,1249,72.22,543,363,132,14,4,50.0,160,44.69,0
54,Haras El Hedoud,Mohamed Reda,7.00,2,1,319,178,497,64.19,160,192,65,23,33,27.97,40,37.74,0
55,Pyramids FC,Ahmed El-Shenawy,7.00,0,0,531,196,727,73.04,476,55,13,0,0,0.0,135,41.54,0
56,Pyramids FC,Mahmoud Ooka,7.00,1,1,2,0,2,100.0,0,2,1,1,0,0.0,0,0.0,0
57,Al-Masry,Adnan Osman,7.00,0,0,4,7,11,36.36,3,1,1,0,0,0.0,0,0.0,0
58,Haras El Hedoud,Ramzi Khaled,7.00,0,0,17,10,27,62.96,9,9,3,1,1,25.0,1,50.0,0
59,Al Ahly FC,Mostafa Shobeir,7.00,0,0,35,13,48,72.92,32,3,0,0,0,0.0,8,38.1,0
60,Al-Mokawloon,Ahmed Eid,7.00,0,0,43,17,60,71.67,28,15,7,0,0,0.0,9,52.94,0
61,Tala'ea El-Gaish,Karim Halawa,7.00,0,0,17,9,26,65.38,5,14,7,1,2,50.0,4,66.67,0
62,Al-Mokawloon,Omar Fathi,7.00,7,2,371,141,512,72.46,128,264,141,33,21,31.82,28,45.9,0
63,Pyramids FC,Ramadan Sobhi,6.99,7,7,570,126,696,81.9,131,441,246,37,2,22.22,17,68.0,0
64,Ceramica Cleopatra,Mohamed Bassam,6.99,0,0,379,241,620,61.13,273,106,41,0,0,0.0,162,40.81,0
65,Ismaily,Serge Aka,6.99,0,0,539,102,641,84.09,281,259,112,6,1,33.33,56,62.92,0
66,Al-Masry,Mohamed Dabash,6.99,0,0,520,96,616,84.42,374,146,33,0,0,0.0,68,58.12,0
67,Al-Masry,Hussein Sayed,6.99,3,1,448,146,594,75.42,210,252,117,18,14,20.29,35,39.77,0
68,ENPPI,Reda Sayed,6.99,1,1,420,441,861,48.78,211,209,70,2,0,0.0,263,37.68,0
69,Modern Future FC,Mahmoud Hamdy,6.99,0,0,95,30,125,76.0,92,3,0,0,0,0.0,27,50.94,0
70,ENPPI,Ahmed Amin Oufa,6.98,4,2,307,291,598,51.34,94,213,117,14,0,0.0,18,36.73,0
