#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
39,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40,Al Ahly FC,Hamdi Fathi,7.06,1,0,1,25.0,17,3,8,6,5.88,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0
41,Al-Ittihad Alexandria,Mabululu,7.06,16,6,20,51.28,69,27,33,9,23.19,3,1,1,0,0,14,2,4,5,7,2,13,33.33,0.0
42,Pyramids FC,Abdallah El-Said,7.06,1,0,12,42.86,25,5,9,11,4.0,0,0,0,2,0,1,0,0,0,1,0,4,0.0,0.0
43,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,Modern Future FC,Mahmoud Genesh,7.05,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
45,ENPPI,Mohamed Ismail,7.05,0,0,2,100.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46,Haras El Hedoud,Ibrahim El Kadi,7.05,1,0,13,81.25,11,4,6,1,9.09,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0
47,Ceramica Cleopatra,Ragab Nabil,7.05,2,2,2,100.0,13,5,7,1,15.38,1,1,0,0,0,2,0,1,0,1,1,0,100.0,0.0
48,Ceramica Cleopatra,Mohamed Shokry,7.04,1,0,24,53.33,27,4,10,13,3.7,0,0,0,7,0,0,1,0,1,0,0,5,0.0,0.0
49,Al-Ittihad Alexandria,Mahmoud Alaa,7.04,4,7,0,0.0,24,10,8,6,16.67,3,1,0,0,0,4,0,1,0,3,0,5,33.33,0.0
50,Al-Mokawloon,Omar Fayed,7.03,0,0,19,82.61,8,0,6,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51,Ismaily,Mohamed Fawzi,7.02,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
52,Modern Future FC,Nasser Maher,7.01,1,1,22,55.0,29,15,8,6,3.45,0,0,0,1,0,0,1,0,0,1,1,2,0.0,0.0
53,ENPPI,Ahmed Kalosha,7.01,2,3,6,60.0,16,3,11,2,12.5,0,0,0,0,0,2,0,2,0,0,2,1,0.0,0.0
54,Haras El Hedoud,Mohamed Reda,7.00,0,0,17,70.83,15,8,5,2,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
55,Pyramids FC,Ahmed El-Shenawy,7.00,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
56,Pyramids FC,Mahmoud Ooka,7.00,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57,Al-Masry,Adnan Osman,7.00,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
58,Haras El Hedoud,Ramzi Khaled,7.00,0,0,1,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
59,Al Ahly FC,Mostafa Shobeir,7.00,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60,Al-Mokawloon,Ahmed Eid,7.00,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
61,Tala'ea El-Gaish,Karim Halawa,7.00,0,0,1,25.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
62,Al-Mokawloon,Omar Fathi,7.00,5,2,24,51.06,49,19,16,14,10.2,1,0,1,11,1,3,2,0,0,5,0,4,0.0,9.09
63,Pyramids FC,Ramadan Sobhi,6.99,6,3,18,42.86,24,9,9,6,25.0,2,1,0,0,0,6,0,0,1,5,0,5,50.0,0.0
