Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
08/09/17,El Dakhlya,Petrojet,1,1,FT,https://www.sofascore.com/el-dakhlya-petrojet/rwrsrqy#7556578,7556578
08/09/17,Al-Mokawloon,El Raja,3,0,FT,https://www.sofascore.com/el-raja-al-mokawloon/pXqsLIdb#7564321,7564321
09/09/17,Tanta,Al Nasr,0,0,FT,https://www.sofascore.com/tanta-al-nasr-cairo/UrkbsACLb#7556574,7556574
09/09/17,Al-Ittihad,Ismaily,2,4,FT,https://www.sofascore.com/ismaily-al-ittihad-alexandria/MdosqXq#7556576,7556576
09/09/17,El-Entag,Zamalek,1,1,FT,https://www.sofascore.com/el-entag-el-harby-zamalek-sc/tXqsmwr#7556579,7556579
10/09/17,Pyramids,El-Makkasa,1,1,FT,https://www.sofascore.com/pyramids-fc-misr-el-makkasa/jwrscavb#7556573,7556573
10/09/17,Al-Masry,Wadi Degla,1,0,FT,https://www.sofascore.com/wadi-degla-al-masry/kwrstwr#7556577,7556577
10/09/17,Al Ahly,El-Gaish,1,1,FT,https://www.sofascore.com/talaea-el-gaish-al-ahly-fc/kNcslwr#7556572,7556572
11/09/17,ENPPI,Smouha,1,1,FT,https://www.sofascore.com/enppi-smouha/nwrsowr#7556575,7556575
14/09/17,Petrojet,Al-Masry,0,1,FT,https://www.sofascore.com/petrojet-al-masry/kwrsrwr#7575649,7575649
14/09/17,El-Gaish,El-Entag,2,2,FT,https://www.sofascore.com/el-entag-el-harby-talaea-el-gaish/lwrsmwr#7575653,7575653
15/09/17,El Raja,Pyramids,0,2,FT,https://www.sofascore.com/pyramids-fc-el-raja/LIdbscavb#7575651,7575651
16/09/17,Al Nasr,Al-Ittihad,2,3,FT,https://www.sofascore.com/al-nasr-cairo-al-ittihad-alexandria/MdosUrkb#7575652,7575652
16/09/17,Wadi Degla,ENPPI,2,1,FT,https://www.sofascore.com/wadi-degla-enppi/owrstwr#7575648,7575648
17/09/17,Smouha,Tanta,2,0,FT,https://www.sofascore.com/tanta-smouha/nwrsACLb#7575647,7575647
17/09/17,Ismaily,Al-Mokawloon,1,1,FT,https://www.sofascore.com/ismaily-al-mokawloon/pXqsqXq#7575654,7575654
17/09/17,Zamalek,El Dakhlya,3,0,FT,https://www.sofascore.com/el-dakhlya-zamalek-sc/tXqsrqy#7575650,7575650
30/10/17,El-Makkasa,Al Ahly,None,None,Canceled,https://www.sofascore.com/misr-el-makkasa-al-ahly-fc/kNcsjwr#7629202,7629202
10/12/17,El-Makkasa,Al Ahly,3,2,FT,https://www.sofascore.com/misr-el-makkasa-al-ahly-fc/kNcsjwr#7646596,7646596
21/09/17,ENPPI,Petrojet,0,2,FT,https://www.sofascore.com/petrojet-enppi/owrsrwr#7575646,7575646
21/09/17,Smouha,Al Nasr,1,1,FT,https://www.sofascore.com/al-nasr-cairo-smouha/nwrsUrkb#7575645,7575645
21/09/17,El-Entag,El-Makkasa,1,0,FT,https://www.sofascore.com/el-entag-el-harby-misr-el-makkasa/jwrsmwr#7575640,7575640
22/09/17,Tanta,Wadi Degla,3,1,FT,https://www.sofascore.com/tanta-wadi-degla/twrsACLb#7575644,7575644
22/09/17,Al-Mokawloon,Al-Ittihad,3,2,FT,https://www.sofascore.com/al-mokawloon-al-ittihad-alexandria/MdospXq#7575639,7575639
22/09/17,Al-Masry,Zamalek,1,2,FT,https://www.sofascore.com/al-masry-zamalek-sc/tXqskwr#7575641,7575641
23/09/17,Pyramids,Ismaily,0,2,FT,https://www.sofascore.com/pyramids-fc-ismaily/qXqscavb#7575642,7575642
23/09/17,El Dakhlya,El-Gaish,1,2,FT,https://www.sofascore.com/el-dakhlya-talaea-el-gaish/lwrsrqy#7575643,7575643
16/10/17,Al Ahly,El Raja,4,1,FT,https://www.sofascore.com/el-raja-al-ahly-fc/kNcsLIdb#7616847,7616847
27/09/17,El Raja,El-Entag,0,2,FT,https://www.sofascore.com/el-raja-el-entag-el-harby/mwrsLIdb#7589252,7589252
28/09/17,Al Nasr,Al-Mokawloon,1,2,FT,https://www.sofascore.com/al-nasr-cairo-al-mokawloon/pXqsUrkb#7589253,7589253
28/09/17,El-Gaish,Al-Masry,0,4,FT,https://www.sofascore.com/talaea-el-gaish-al-masry/kwrslwr#7589255,7589255
28/09/17,Wadi Degla,Smouha,0,1,FT,https://www.sofascore.com/wadi-degla-smouha/nwrstwr#7589257,7589257
29/09/17,Al-Ittihad,Pyramids,2,0,FT,https://www.sofascore.com/pyramids-fc-al-ittihad-alexandria/Mdoscavb#7589256,7589256
29/09/17,Zamalek,ENPPI,0,0,FT,https://www.sofascore.com/enppi-zamalek-sc/tXqsowr#7589259,7589259
30/09/17,Petrojet,Tanta,1,1,FT,https://www.sofascore.com/tanta-petrojet/rwrsACLb#7589254,7589254
30/09/17,El-Makkasa,El Dakhlya,1,2,FT,https://www.sofascore.com/el-dakhlya-misr-el-makkasa/jwrsrqy#7589258,7589258
20/11/17,Ismaily,Al Ahly,0,2,FT,https://www.sofascore.com/ismaily-al-ahly-fc/kNcsqXq#7646594,7646594
11/10/17,El Dakhlya,El Raja,2,0,FT,https://www.sofascore.com/el-raja-el-dakhlya/rqysLIdb#7598962,7598962
11/10/17,Smouha,Petrojet,0,0,FT,https://www.sofascore.com/petrojet-smouha/nwrsrwr#7598966,7598966
11/10/17,Wadi Degla,Al Nasr,1,1,FT,https://www.sofascore.com/al-nasr-cairo-wadi-degla/twrsUrkb#7598963,7598963
12/10/17,Pyramids,Al-Mokawloon,1,1,FT,https://www.sofascore.com/pyramids-fc-al-mokawloon/pXqscavb#7598964,7598964
12/10/17,Al-Masry,El-Makkasa,3,2,FT,https://www.sofascore.com/al-masry-misr-el-makkasa/jwrskwr#7598965,7598965
12/10/17,Al Ahly,Al-Ittihad,2,0,FT,https://www.sofascore.com/al-ittihad-alexandria-al-ahly-fc/kNcsMdo#7598969,7598969
13/10/17,El-Entag,Ismaily,0,1,FT,https://www.sofascore.com/el-entag-el-harby-ismaily/qXqsmwr#7598968,7598968
13/10/17,Tanta,Zamalek,1,1,FT,https://www.sofascore.com/tanta-zamalek-sc/tXqsACLb#7598970,7598970
13/10/17,ENPPI,El-Gaish,1,1,FT,https://www.sofascore.com/enppi-talaea-el-gaish/lwrsowr#7598967,7598967
19/10/17,Al Nasr,Pyramids,2,2,FT,https://www.sofascore.com/pyramids-fc-al-nasr-cairo/Urkbscavb#7618574,7618574
