Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
05/05/21,Aswan,Al-Masry,2,3,FT,https://www.sofascore.com/aswan-sc-al-masry/kwrsDFIb#9373327,9373327
05/05/21,Ceramica Cleopatra,Al-Mokawloon,1,1,FT,https://www.sofascore.com/ceramica-cleopatra-al-mokawloon/pXqsxHYc#9373325,9373325
05/05/21,Ismaily,El Gouna,3,2,FT,https://www.sofascore.com/el-gouna-fc-ismaily/qXqspwr#9373335,9373335
05/05/21,El-Makkasa,El-Gaish,0,2,FT,https://www.sofascore.com/talaea-el-gaish-misr-el-makkasa/jwrslwr#9373315,9373315
06/05/21,Al-Ittihad,Al Ahly,1,2,FT,https://www.sofascore.com/al-ittihad-alexandria-al-ahly-fc/kNcsMdo#9373337,9373337
06/05/21,El Mahalla,ENPPI,1,0,FT,https://www.sofascore.com/ghazl-el-mahalla-enppi/owrsuqy#9373313,9373313
06/05/21,Wadi Degla,Pyramids,1,3,FT,https://www.sofascore.com/pyramids-fc-wadi-degla/twrscavb#9373333,9373333
06/05/21,Zamalek,Smouha,2,1,FT,https://www.sofascore.com/smouha-zamalek-sc/tXqsnwr#9373320,9373320
08/05/21,Al-Mokawloon,El-Entag,1,1,FT,https://www.sofascore.com/el-entag-el-harby-al-mokawloon/pXqsmwr#9373339,9373339
09/05/21,Al-Masry,El-Makkasa,0,0,FT,https://www.sofascore.com/al-masry-misr-el-makkasa/jwrskwr#9373326,9373326
09/05/21,ENPPI,Al-Ittihad,0,0,FT,https://www.sofascore.com/enppi-al-ittihad-alexandria/Mdosowr#9373314,9373314
09/05/21,Pyramids,Ceramica Cleopatra,2,4,FT,https://www.sofascore.com/ceramica-cleopatra-pyramids-fc/cavbsxHYc#9373336,9373336
09/05/21,El-Gaish,El Mahalla,3,1,FT,https://www.sofascore.com/ghazl-el-mahalla-talaea-el-gaish/lwrsuqy#9373345,9373345
10/05/21,Al Ahly,Zamalek,1,1,FT,https://www.sofascore.com/zamalek-sc-al-ahly-fc/kNcstXq#9373331,9373331
10/05/21,El Gouna,Aswan,1,1,FT,https://www.sofascore.com/aswan-sc-el-gouna-fc/pwrsDFIb#9373316,9373316
10/05/21,National Bank,Ismaily,0,2,FT,https://www.sofascore.com/national-bank-of-egypt-ismaily/qXqsBHgc#9373321,9373321
10/05/21,Smouha,Wadi Degla,2,1,FT,https://www.sofascore.com/wadi-degla-smouha/nwrstwr#9373317,9373317
14/05/21,Ismaily,Aswan,3,2,FT,https://www.sofascore.com/aswan-sc-ismaily/qXqsDFIb#9503247,9503247
14/05/21,National Bank,Al-Mokawloon,0,1,FT,https://www.sofascore.com/national-bank-of-egypt-al-mokawloon/pXqsBHgc#9503252,9503252
14/05/21,El Mahalla,Al-Masry,1,2,FT,https://www.sofascore.com/ghazl-el-mahalla-al-masry/kwrsuqy#9503249,9503249
14/05/21,Zamalek,ENPPI,3,1,FT,https://www.sofascore.com/enppi-zamalek-sc/tXqsowr#9503246,9503246
15/05/21,Ceramica Cleopatra,Smouha,1,1,FT,https://www.sofascore.com/ceramica-cleopatra-smouha/nwrsxHYc#9503245,9503245
15/05/21,El-Makkasa,El Gouna,1,0,FT,https://www.sofascore.com/el-gouna-fc-misr-el-makkasa/jwrspwr#9503248,9503248
15/05/21,Al-Ittihad,El-Gaish,1,1,FT,https://www.sofascore.com/talaea-el-gaish-al-ittihad-alexandria/Mdoslwr#9503242,9503242
19/05/21,El-Entag,Pyramids,None,None,Canceled,https://www.sofascore.com/pyramids-fc-el-entag-el-harby/mwrscavb#9503241,9503241
18/06/21,Wadi Degla,Al Ahly,None,None,Canceled,https://www.sofascore.com/wadi-degla-al-ahly-fc/kNcstwr#9503188,9503188
08/07/21,El-Entag,Pyramids,2,2,FT,https://www.sofascore.com/pyramids-fc-el-entag-el-harby/mwrscavb#9560400,9560400
02/08/21,Wadi Degla,Al Ahly,None,None,Canceled,https://www.sofascore.com/wadi-degla-al-ahly-fc/kNcstwr#9560408,9560408
04/08/21,Wadi Degla,Al Ahly,1,2,FT,https://www.sofascore.com/wadi-degla-al-ahly-fc/kNcstwr#9689649,9689649
19/05/21,Al-Mokawloon,Ismaily,1,0,FT,https://www.sofascore.com/ismaily-al-mokawloon/pXqsqXq#9503243,9503243
19/05/21,Aswan,El-Makkasa,2,4,FT,https://www.sofascore.com/aswan-sc-misr-el-makkasa/jwrsDFIb#9503244,9503244
20/05/21,El Gouna,El Mahalla,0,0,FT,https://www.sofascore.com/ghazl-el-mahalla-el-gouna-fc/pwrsuqy#9503240,9503240
20/05/21,Al-Masry,Al-Ittihad,1,0,FT,https://www.sofascore.com/al-masry-al-ittihad-alexandria/Mdoskwr#9503236,9503236
20/05/21,El-Gaish,Zamalek,1,2,FT,https://www.sofascore.com/talaea-el-gaish-zamalek-sc/tXqslwr#9503176,9503176
21/05/21,Smouha,El-Entag,4,2,FT,https://www.sofascore.com/smouha-el-entag-el-harby/mwrsnwr#9503237,9503237
21/05/21,ENPPI,Wadi Degla,0,0,FT,https://www.sofascore.com/wadi-degla-enppi/owrstwr#9503239,9503239
25/06/21,Al Ahly,Ceramica Cleopatra,None,None,Canceled,https://www.sofascore.com/ceramica-cleopatra-al-ahly-fc/kNcsxHYc#9503181,9503181
01/07/21,Pyramids,National Bank,None,None,Canceled,https://www.sofascore.com/national-bank-of-egypt-pyramids-fc/cavbsBHgc#9503182,9503182
