Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
31/07/18,Al-Ittihad,Al-Mokawloon,1,1,FT,https://www.sofascore.com/al-mokawloon-al-ittihad-alexandria/MdospXq#7896600,7896600
31/07/18,Petrojet,Zamalek,0,0,FT,https://www.sofascore.com/petrojet-zamalek-sc/tXqsrwr#7896601,7896601
01/08/18,El Dakhlya,Wadi Degla,1,1,FT,https://www.sofascore.com/el-dakhlya-wadi-degla/twrsrqy#7896599,7896599
01/08/18,El-Entag,Haras El Hedoud,2,1,FT,https://www.sofascore.com/haras-el-hedoud-el-entag-el-harby/mwrsqwr#7896603,7896603
01/08/18,Nogoom FC,El-Gaish,0,0,FT,https://www.sofascore.com/nogoom-fc-talaea-el-gaish/lwrschAb#7896602,7896602
02/08/18,El Gouna,Al-Masry,0,1,FT,https://www.sofascore.com/el-gouna-fc-al-masry/kwrspwr#7896604,7896604
02/08/18,Al Ahly,Ismaily,1,1,FT,https://www.sofascore.com/ismaily-al-ahly-fc/kNcsqXq#7896608,7896608
03/08/18,El-Makkasa,Smouha,1,2,FT,https://www.sofascore.com/smouha-misr-el-makkasa/jwrsnwr#7896609,7896609
03/08/18,ENPPI,Pyramids,0,1,FT,https://www.sofascore.com/pyramids-fc-enppi/owrscavb#7896615,7896615
04/08/18,Zamalek,Al-Ittihad,5,1,FT,https://www.sofascore.com/zamalek-sc-al-ittihad-alexandria/MdostXq#7896611,7896611
06/08/18,Haras El Hedoud,El Dakhlya,1,2,FT,https://www.sofascore.com/el-dakhlya-haras-el-hedoud/qwrsrqy#7896605,7896605
06/08/18,Ismaily,Petrojet,0,0,FT,https://www.sofascore.com/petrojet-ismaily/qXqsrwr#7896607,7896607
06/08/18,Wadi Degla,El Gouna,1,3,FT,https://www.sofascore.com/wadi-degla-el-gouna-fc/pwrstwr#7896606,7896606
07/08/18,Al-Masry,Al Ahly,0,2,FT,https://www.sofascore.com/al-masry-al-ahly-fc/kNcskwr#7896610,7896610
08/08/18,Pyramids,El-Entag,1,1,FT,https://www.sofascore.com/pyramids-fc-el-entag-el-harby/mwrscavb#7896613,7896613
08/08/18,Al-Mokawloon,El-Makkasa,1,2,FT,https://www.sofascore.com/misr-el-makkasa-al-mokawloon/pXqsjwr#7896612,7896612
08/08/18,Smouha,Nogoom FC,0,0,FT,https://www.sofascore.com/nogoom-fc-smouha/nwrschAb#7896614,7896614
08/08/18,El-Gaish,ENPPI,0,3,FT,https://www.sofascore.com/enppi-talaea-el-gaish/lwrsowr#7896616,7896616
14/08/18,El Dakhlya,El-Entag,0,1,FT,https://www.sofascore.com/el-dakhlya-el-entag-el-harby/mwrsrqy#7912855,7912855
14/08/18,El Gouna,Haras El Hedoud,1,1,FT,https://www.sofascore.com/haras-el-hedoud-el-gouna-fc/pwrsqwr#7912852,7912852
14/08/18,ENPPI,Smouha,2,3,FT,https://www.sofascore.com/enppi-smouha/nwrsowr#7912856,7912856
14/08/18,Petrojet,Al-Masry,2,2,FT,https://www.sofascore.com/petrojet-al-masry/kwrsrwr#7912859,7912859
14/08/18,El-Gaish,Pyramids,1,2,FT,https://www.sofascore.com/pyramids-fc-talaea-el-gaish/lwrscavb#7912857,7912857
15/08/18,Nogoom FC,Al-Mokawloon,0,2,FT,https://www.sofascore.com/nogoom-fc-al-mokawloon/pXqschAb#7912860,7912860
16/08/18,El-Makkasa,Zamalek,0,1,FT,https://www.sofascore.com/misr-el-makkasa-zamalek-sc/tXqsjwr#7912853,7912853
17/08/18,Al-Ittihad,Ismaily,1,0,FT,https://www.sofascore.com/ismaily-al-ittihad-alexandria/MdosqXq#7912858,7912858
21/08/18,Al Ahly,Wadi Degla,1,0,FT,https://www.sofascore.com/wadi-degla-al-ahly-fc/kNcstwr#7912854,7912854
10/08/18,Wadi Degla,Petrojet,0,2,FT,https://www.sofascore.com/wadi-degla-petrojet/rwrstwr#7912861,7912861
24/08/18,Al-Mokawloon,ENPPI,1,2,FT,https://www.sofascore.com/enppi-al-mokawloon/pXqsowr#7912867,7912867
24/08/18,Ismaily,El-Makkasa,1,0,FT,https://www.sofascore.com/misr-el-makkasa-ismaily/qXqsjwr#7912868,7912868
24/08/18,Haras El Hedoud,Al Ahly,0,2,FT,https://www.sofascore.com/haras-el-hedoud-al-ahly-fc/kNcsqwr#7912865,7912865
25/08/18,Al-Masry,Al-Ittihad,2,2,FT,https://www.sofascore.com/al-masry-al-ittihad-alexandria/Mdoskwr#7912862,7912862
26/08/18,Smouha,El-Gaish,0,0,FT,https://www.sofascore.com/smouha-talaea-el-gaish/lwrsnwr#7912866,7912866
26/08/18,Pyramids,El Dakhlya,3,1,FT,https://www.sofascore.com/pyramids-fc-el-dakhlya/rqyscavb#7912864,7912864
26/08/18,El-Entag,El Gouna,0,0,FT,https://www.sofascore.com/el-gouna-fc-el-entag-el-harby/mwrspwr#7912863,7912863
27/08/18,Zamalek,Nogoom FC,0,1,FT,https://www.sofascore.com/nogoom-fc-zamalek-sc/tXqschAb#7925252,7925252
31/08/18,Nogoom FC,Ismaily,1,1,FT,https://www.sofascore.com/nogoom-fc-ismaily/qXqschAb#7925258,7925258
31/08/18,Petrojet,Haras El Hedoud,0,0,FT,https://www.sofascore.com/petrojet-haras-el-hedoud/qwrsrwr#7925254,7925254
31/08/18,El Gouna,El Dakhlya,3,2,FT,https://www.sofascore.com/el-dakhlya-el-gouna-fc/pwrsrqy#7925253,7925253
31/08/18,El-Gaish,Al-Mokawloon,3,1,FT,https://www.sofascore.com/talaea-el-gaish-al-mokawloon/pXqslwr#7925256,7925256
01/09/18,ENPPI,Zamalek,1,4,FT,https://www.sofascore.com/enppi-zamalek-sc/tXqsowr#7925257,7925257
02/09/18,Smouha,Pyramids,1,1,FT,https://www.sofascore.com/pyramids-fc-smouha/nwrscavb#7925261,7925261
02/09/18,Al Ahly,El-Entag,0,0,FT,https://www.sofascore.com/el-entag-el-harby-al-ahly-fc/kNcsmwr#7925263,7925263
03/09/18,El-Makkasa,Al-Masry,0,0,FT,https://www.sofascore.com/al-masry-misr-el-makkasa/jwrskwr#7925260,7925260
28/09/18,Al-Ittihad,Wadi Degla,2,2,FT,https://www.sofascore.com/wadi-degla-al-ittihad-alexandria/Mdostwr#7925255,7925255
11/09/18,Al-Masry,Nogoom FC,5,3,FT,https://www.sofascore.com/nogoom-fc-al-masry/kwrschAb#7925262,7925262
11/09/18,El Dakhlya,Al Ahly,None,None,Canceled,https://www.sofascore.com/el-dakhlya-al-ahly-fc/kNcsrqy#7925266,7925266
12/09/18,El-Entag,Petrojet,2,1,FT,https://www.sofascore.com/petrojet-el-entag-el-harby/mwrsrwr#7925264,7925264
12/09/18,Haras El Hedoud,Al-Ittihad,1,1,FT,https://www.sofascore.com/haras-el-hedoud-al-ittihad-alexandria/Mdosqwr#7925259,7925259
12/09/18,Al-Mokawloon,Smouha,2,1,FT,https://www.sofascore.com/smouha-al-mokawloon/pXqsnwr#7925265,7925265
12/09/18,Pyramids,El Gouna,1,1,FT,https://www.sofascore.com/pyramids-fc-el-gouna-fc/pwrscavb#7925267,7925267
12/09/18,Wadi Degla,El-Makkasa,1,2,FT,https://www.sofascore.com/wadi-degla-misr-el-makkasa/jwrstwr#7925268,7925268
