Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
14/10/11,El-Entag,El-Shorta,1,2,FT,https://www.sofascore.com/el-entag-el-harby-ittihad-el-shorta/rXqsmwr#2051821,2051821
14/10/11,El Mahalla,Al-Masry,0,3,FT,https://www.sofascore.com/ghazl-el-mahalla-al-masry/kwrsuqy#2051817,2051817
14/10/11,Ismaily,Petrojet,3,1,FT,https://www.sofascore.com/petrojet-ismaily/qXqsrwr#2051737,2051737
14/10/11,El-Makkasa,Beni Suef,3,0,FT,https://www.sofascore.com/beni-suef-sc-misr-el-makkasa/jwrspqy#2051741,2051741
14/10/11,El-Gaish,Al-Mokawloon,2,1,FT,https://www.sofascore.com/talaea-el-gaish-al-mokawloon/pXqslwr#2051819,2051819
14/10/11,Al Ahly,Haras El Hedoud,1,0,FT,https://www.sofascore.com/haras-el-hedoud-al-ahly-fc/kNcsqwr#2051739,2051739
15/10/11,El Dakhlya,Al-Ittihad,1,1,FT,https://www.sofascore.com/el-dakhlya-al-ittihad-alexandria/Mdosrqy#2051733,2051733
15/10/11,ENPPI,El Gouna,3,3,FT,https://www.sofascore.com/el-gouna-fc-enppi/owrspwr#2051735,2051735
15/10/11,Wadi Degla,Zamalek,None,None,Postponed,https://www.sofascore.com/wadi-degla-zamalek-sc/tXqstwr#2051743,2051743
25/10/11,Wadi Degla,Zamalek,None,None,Postponed,https://www.sofascore.com/wadi-degla-zamalek-sc/tXqstwr#2080383,2080383
07/01/12,Wadi Degla,Zamalek,0,1,FT,https://www.sofascore.com/wadi-degla-zamalek-sc/tXqstwr#2110585,2110585
18/10/11,Al-Masry,El-Gaish,1,1,FT,https://www.sofascore.com/talaea-el-gaish-al-masry/kwrslwr#2074949,2074949
18/10/11,Haras El Hedoud,El-Makkasa,1,1,FT,https://www.sofascore.com/haras-el-hedoud-misr-el-makkasa/jwrsqwr#2074951,2074951
18/10/11,El-Shorta,Smouha,2,0,FT,https://www.sofascore.com/smouha-ittihad-el-shorta/rXqsnwr#2075481,2075481
18/10/11,Petrojet,Al Ahly,2,2,FT,https://www.sofascore.com/petrojet-al-ahly-fc/kNcsrwr#2074953,2074953
18/10/11,Al-Mokawloon,El-Entag,0,0,FT,https://www.sofascore.com/el-entag-el-harby-al-mokawloon/pXqsmwr#2074955,2074955
19/10/11,Beni Suef,Wadi Degla,1,2,FT,https://www.sofascore.com/beni-suef-sc-wadi-degla/twrspqy#2074959,2074959
19/10/11,El Gouna,Ismaily,4,1,FT,https://www.sofascore.com/el-gouna-fc-ismaily/qXqspwr#2074957,2074957
19/10/11,Al-Ittihad,ENPPI,3,0,FT,https://www.sofascore.com/enppi-al-ittihad-alexandria/Mdosowr#2074961,2074961
19/10/11,Zamalek,El Mahalla,6,1,FT,https://www.sofascore.com/ghazl-el-mahalla-zamalek-sc/tXqsuqy#2074963,2074963
23/10/11,El-Makkasa,Petrojet,2,3,FT,https://www.sofascore.com/petrojet-misr-el-makkasa/jwrsrwr#2074967,2074967
23/10/11,El-Entag,Al-Masry,1,1,FT,https://www.sofascore.com/el-entag-el-harby-al-masry/kwrsmwr#2074969,2074969
23/10/11,Smouha,Al-Mokawloon,1,1,FT,https://www.sofascore.com/smouha-al-mokawloon/pXqsnwr#2074971,2074971
23/10/11,Wadi Degla,Haras El Hedoud,1,2,FT,https://www.sofascore.com/wadi-degla-haras-el-hedoud/qwrstwr#2074965,2074965
23/10/11,Al Ahly,El Gouna,1,1,FT,https://www.sofascore.com/el-gouna-fc-al-ahly-fc/kNcspwr#2074975,2074975
24/10/11,ENPPI,El Dakhlya,3,2,FT,https://www.sofascore.com/el-dakhlya-enppi/owrsrqy#2074977,2074977
24/10/11,El Mahalla,Beni Suef,0,3,FT,https://www.sofascore.com/ghazl-el-mahalla-beni-suef-sc/pqysuqy#2074979,2074979
24/10/11,Ismaily,Al-Ittihad,1,1,FT,https://www.sofascore.com/ismaily-al-ittihad-alexandria/MdosqXq#2074981,2074981
24/10/11,El-Gaish,Zamalek,1,1,FT,https://www.sofascore.com/talaea-el-gaish-zamalek-sc/tXqslwr#2074983,2074983
27/10/11,El Gouna,El-Makkasa,1,1,FT,https://www.sofascore.com/el-gouna-fc-misr-el-makkasa/jwrspwr#2074985,2074985
27/10/11,Al-Masry,Smouha,1,1,FT,https://www.sofascore.com/smouha-al-masry/kwrsnwr#2074987,2074987
27/10/11,Petrojet,Wadi Degla,0,1,FT,https://www.sofascore.com/wadi-degla-petrojet/rwrstwr#2074989,2074989
27/10/11,Al-Mokawloon,El-Shorta,2,2,FT,https://www.sofascore.com/ittihad-el-shorta-al-mokawloon/pXqsrXq#2075483,2075483
28/10/11,Beni Suef,El-Gaish,2,1,FT,https://www.sofascore.com/beni-suef-sc-talaea-el-gaish/lwrspqy#2075485,2075485
