Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
20/10/15,El Dakhlya,Al-Mokawloon,2,0,FT,https://www.sofascore.com/el-dakhlya-al-mokawloon/pXqsrqy#6928045,6928045
20/10/15,ENPPI,Haras El Hedoud,2,2,FT,https://www.sofascore.com/haras-el-hedoud-enppi/owrsqwr#6928043,6928043
21/10/15,Al-Ittihad,Aswan,1,0,FT,https://www.sofascore.com/aswan-sc-al-ittihad-alexandria/MdosDFIb#6929966,6929966
21/10/15,Ismaily,El-Entag,2,0,FT,https://www.sofascore.com/el-entag-el-harby-ismaily/qXqsmwr#6928048,6928048
21/10/15,Zamalek,Wadi Degla,2,0,FT,https://www.sofascore.com/wadi-degla-zamalek-sc/tXqstwr#6928050,6928050
22/10/15,El Mahalla,Smouha,0,1,FT,https://www.sofascore.com/ghazl-el-mahalla-smouha/nwrsuqy#6928049,6928049
22/10/15,El-Makkasa,El-Shorta,1,1,FT,https://www.sofascore.com/misr-el-makkasa-ittihad-el-shorta/rXqsjwr#6928051,6928051
22/10/15,Petrojet,Al-Masry,1,3,FT,https://www.sofascore.com/petrojet-al-masry/kwrsrwr#6928041,6928041
22/10/15,El-Gaish,Al Ahly,0,1,FT,https://www.sofascore.com/talaea-el-gaish-al-ahly-fc/kNcslwr#6928039,6928039
24/10/15,Haras El Hedoud,El Dakhlya,0,1,FT,https://www.sofascore.com/el-dakhlya-haras-el-hedoud/qwrsrqy#6928047,6928047
24/10/15,El-Entag,Al-Ittihad,0,1,FT,https://www.sofascore.com/el-entag-el-harby-al-ittihad-alexandria/Mdosmwr#6928042,6928042
24/10/15,Al-Mokawloon,Ismaily,0,0,FT,https://www.sofascore.com/ismaily-al-mokawloon/pXqsqXq#6928046,6928046
25/10/15,Smouha,Petrojet,0,3,FT,https://www.sofascore.com/petrojet-smouha/nwrsrwr#6928038,6928038
25/10/15,Al-Masry,El-Makkasa,1,1,FT,https://www.sofascore.com/al-masry-misr-el-makkasa/jwrskwr#6928044,6928044
25/10/15,Aswan,Zamalek,0,0,FT,https://www.sofascore.com/aswan-sc-zamalek-sc/tXqsDFIb#6932978,6932978
25/10/15,Al Ahly,El Mahalla,2,0,FT,https://www.sofascore.com/ghazl-el-mahalla-al-ahly-fc/kNcsuqy#6928040,6928040
26/10/15,El-Shorta,ENPPI,0,0,FT,https://www.sofascore.com/enppi-ittihad-el-shorta/rXqsowr#6928060,6928060
26/10/15,Wadi Degla,El-Gaish,3,3,FT,https://www.sofascore.com/wadi-degla-talaea-el-gaish/lwrstwr#6928059,6928059
31/10/15,ENPPI,Al-Masry,2,1,FT,https://www.sofascore.com/enppi-al-masry/kwrsowr#6935839,6935839
31/10/15,El Mahalla,Wadi Degla,0,2,FT,https://www.sofascore.com/ghazl-el-mahalla-wadi-degla/twrsuqy#6935835,6935835
31/10/15,Al-Ittihad,Al-Mokawloon,1,1,FT,https://www.sofascore.com/al-mokawloon-al-ittihad-alexandria/MdospXq#6935832,6935832
31/10/15,El-Makkasa,Smouha,2,0,FT,https://www.sofascore.com/smouha-misr-el-makkasa/jwrsnwr#6935837,6935837
31/10/15,Zamalek,El-Entag,2,1,FT,https://www.sofascore.com/el-entag-el-harby-zamalek-sc/tXqsmwr#6935833,6935833
01/11/15,El-Shorta,Haras El Hedoud,1,1,FT,https://www.sofascore.com/haras-el-hedoud-ittihad-el-shorta/rXqsqwr#6935840,6935840
01/11/15,El-Gaish,Aswan,1,1,FT,https://www.sofascore.com/aswan-sc-talaea-el-gaish/lwrsDFIb#6935834,6935834
01/11/15,Petrojet,Al Ahly,0,1,FT,https://www.sofascore.com/petrojet-al-ahly-fc/kNcsrwr#6935838,6935838
01/11/15,Ismaily,El Dakhlya,0,1,FT,https://www.sofascore.com/el-dakhlya-ismaily/qXqsrqy#6935836,6935836
