Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
25/10/21,National Bank,El-Gaish,3,0,FT,https://www.sofascore.com/national-bank-of-egypt-talaea-el-gaish/lwrsBHgc#9905523,9905523
25/10/21,Smouha,Al-Ittihad,4,4,FT,https://www.sofascore.com/smouha-al-ittihad-alexandria/Mdosnwr#9905524,9905524
25/10/21,Future FC,Pharco,1,0,FT,https://www.sofascore.com/future-fc-pharco-fc/dJWbsFqgc#9905525,9905525
26/10/21,Al-Mokawloon,Eastern Company SC,1,0,FT,https://www.sofascore.com/eastern-company-sc-al-mokawloon/pXqsHdjd#9905526,9905526
26/10/21,El Gouna,Ceramica Cleopatra,1,1,FT,https://www.sofascore.com/ceramica-cleopatra-el-gouna-fc/pwrsxHYc#9905527,9905527
26/10/21,Zamalek,ENPPI,2,0,FT,https://www.sofascore.com/enppi-zamalek-sc/tXqsowr#9905528,9905528
27/10/21,Pyramids,El-Makkasa,2,1,FT,https://www.sofascore.com/pyramids-fc-misr-el-makkasa/jwrscavb#9905529,9905529
27/10/21,Ismaily,Al Ahly,0,4,FT,https://www.sofascore.com/ismaily-al-ahly-fc/kNcsqXq#9906235,9906235
28/10/21,El Mahalla,Al-Masry,1,1,FT,https://www.sofascore.com/ghazl-el-mahalla-al-masry/kwrsuqy#9907815,9907815
30/10/21,Al-Ittihad,Future FC,3,2,FT,https://www.sofascore.com/future-fc-al-ittihad-alexandria/MdosFqgc#9912814,9912814
30/10/21,ENPPI,Al-Mokawloon,3,2,FT,https://www.sofascore.com/enppi-al-mokawloon/pXqsowr#9912815,9912815
31/10/21,Ceramica Cleopatra,Ismaily,2,1,FT,https://www.sofascore.com/ceramica-cleopatra-ismaily/qXqsxHYc#9913391,9913391
31/10/21,El-Makkasa,El Gouna,2,0,FT,https://www.sofascore.com/el-gouna-fc-misr-el-makkasa/jwrspwr#9913392,9913392
31/10/21,Pharco,Pyramids,1,2,FT,https://www.sofascore.com/pharco-fc-pyramids-fc/cavbsdJWb#9913920,9913920
31/10/21,El-Gaish,Zamalek,0,2,FT,https://www.sofascore.com/talaea-el-gaish-zamalek-sc/tXqslwr#9913919,9913919
31/10/21,Al Ahly,National Bank,1,0,FT,https://www.sofascore.com/national-bank-of-egypt-al-ahly-fc/kNcsBHgc#9913921,9913921
01/11/21,Al-Masry,Smouha,0,0,FT,https://www.sofascore.com/smouha-al-masry/kwrsnwr#9914298,9914298
01/11/21,Eastern Company SC,El Mahalla,2,3,FT,https://www.sofascore.com/eastern-company-sc-ghazl-el-mahalla/uqysHdjd#9914299,9914299
04/11/21,El-Makkasa,Ceramica Cleopatra,0,0,FT,https://www.sofascore.com/ceramica-cleopatra-misr-el-makkasa/jwrsxHYc#9914300,9914300
04/11/21,National Bank,Ismaily,1,0,FT,https://www.sofascore.com/national-bank-of-egypt-ismaily/qXqsBHgc#9914301,9914301
04/11/21,Al-Mokawloon,El-Gaish,1,1,FT,https://www.sofascore.com/talaea-el-gaish-al-mokawloon/pXqslwr#9914303,9914303
04/11/21,El Gouna,Pharco,1,0,FT,https://www.sofascore.com/pharco-fc-el-gouna-fc/pwrsdJWb#9914302,9914302
04/11/21,Pyramids,Al-Ittihad,3,0,FT,https://www.sofascore.com/pyramids-fc-al-ittihad-alexandria/Mdoscavb#9914304,9914304
05/11/21,Smouha,Eastern Company SC,3,0,FT,https://www.sofascore.com/eastern-company-sc-smouha/nwrsHdjd#9914305,9914305
05/11/21,Future FC,Al-Masry,1,1,FT,https://www.sofascore.com/future-fc-al-masry/kwrsFqgc#9914307,9914307
05/11/21,El Mahalla,ENPPI,3,0,FT,https://www.sofascore.com/ghazl-el-mahalla-enppi/owrsuqy#9914306,9914306
05/11/21,Zamalek,Al Ahly,3,5,FT,https://www.sofascore.com/zamalek-sc-al-ahly-fc/kNcstXq#9914308,9914308
18/11/21,Pharco,El-Makkasa,2,0,FT,https://www.sofascore.com/pharco-fc-misr-el-makkasa/jwrsdJWb#9914309,9914309
18/11/21,Eastern Company SC,Future FC,1,4,FT,https://www.sofascore.com/eastern-company-sc-future-fc/FqgcsHdjd#9914310,9914310
18/11/21,Al-Ittihad,El Gouna,1,0,FT,https://www.sofascore.com/el-gouna-fc-al-ittihad-alexandria/Mdospwr#9914312,9914312
18/11/21,Ceramica Cleopatra,National Bank,1,0,FT,https://www.sofascore.com/ceramica-cleopatra-national-bank-of-egypt/BHgcsxHYc#9914311,9914311
19/11/21,Al-Masry,Pyramids,2,2,FT,https://www.sofascore.com/pyramids-fc-al-masry/kwrscavb#9914314,9914314
19/11/21,El-Gaish,El Mahalla,0,0,FT,https://www.sofascore.com/ghazl-el-mahalla-talaea-el-gaish/lwrsuqy#9914313,9914313
